Matchday,Home Team,Visiting Team,Head Shot Min,Head Shot Sec
1,Sarmiento,Arsenal,0,44
,,,37,57
,,,,
,,,,
,,,,
1,Godoy Cruz,Huracán,,
1,Gimnasia,Vélez,,
1,Rosario Central,Def. y Justicia,,
1,Racing Club,Talleres,,
1,Atlético Tucumán,Atlético Rafaela,,
1,San Lorenzo,San Martín (SJ),,
1,Tigre,Estudiantes,,
1,Quilmes,Newell`s,,
1,Belgrano,Independiente,,
1,Unión,Olimpo,,
1,River Plate,Banfield,,
1,Lanús,Boca Juniors,,
1,Aldosivi,Colón,,
1,Temperley,Patronato,,
2,Patronato,Gimnasia,,
2,Huracán,Quilmes,,
2,Olimpo,Lanús,,
2,Banfield,Colón,,
2,San Martín (SJ),Racing Club,,
2,Unión,Aldosivi,,
2,Def. y Justicia,San Lorenzo,,
2,Independiente,Godoy Cruz,,
2,Newell`s,Tigre,,
2,Vélez,Rosario Central,,
2,Estudiantes,Sarmiento,,
2,Boca Juniors,Belgrano,,
2,Talleres,River Plate,,
2,Arsenal,Atlético Tucumán,,
2,Atlético Rafaela,Temperley,,
3,Colón,Talleres,,
3,Lanús,Unión,,
3,San Lorenzo,Vélez,,
3,Rosario Central,Patronato,,
3,Aldosivi,Banfield,,
3,Quilmes,Independiente,,
3,Sarmiento,Newell`s,,
3,Atlético Tucumán,Estudiantes,,
3,Temperley,Arsenal,,
3,Godoy Cruz,Boca Juniors,,
3,Belgrano,Olimpo,,
3,River Plate,San Martín (SJ),,
3,Racing Club,Def. y Justicia,,
3,Tigre,Huracán,,
3,Gimnasia,Atlético Rafaela,,
4,Olimpo,Godoy Cruz,,
4,Newell`s,Atlético Tucumán,,
4,Atlético Rafaela,Rosario Central,,
4,Vélez,Racing Club,,
4,Independiente,Tigre,,
4,Huracán,Sarmiento,,
4,Estudiantes,Temperley,,
4,Unión,Belgrano,,
4,Talleres,Banfield,,
4,Patronato,San Lorenzo,,
4,Lanús,Aldosivi,,
4,Boca Juniors,Quilmes,,
4,Def. y Justicia,River Plate,,
4,Arsenal,Gimnasia,,
4,San Martín (SJ),Colón,,
5,Quilmes,Olimpo,,
5,Godoy Cruz,Unión,,
5,Rosario Central,Arsenal,,
5,Aldosivi,Talleres,,
5,Temperley,Newell`s,,
5,Racing Club,Patronato,,
5,River Plate,Vélez,,
5,San Lorenzo,Atlético Rafaela,,
5,Belgrano,Lanús,,
5,Gimnasia,Estudiantes,,
5,Banfield,San Martín (SJ),,
5,Colón,Def. y Justicia,,
5,Sarmiento,Independiente,,
5,Tigre,Boca Juniors,,
5,Atlético Tucumán,Huracán,,
6,Def. y Justicia,Banfield,,
6,Belgrano,Aldosivi,,
6,Vélez,Colón,,
6,Huracán,Temperley,,
6,Atlético Rafaela,Racing Club,,
6,Estudiantes,Rosario Central,,
6,San Martín (SJ),Talleres,,
6,Independiente,Atlético Tucumán,,
6,Lanús,Godoy Cruz,,
6,Olimpo,Tigre,,
6,Boca Juniors,Sarmiento,,
6,Newell`s,Gimnasia,,
6,Arsenal,San Lorenzo,,
6,Patronato,River Plate,,
6,Unión,Quilmes,,
7,Sarmiento,Olimpo,,
7,Talleres,Def. y Justicia,,
7,Quilmes,Lanús,,
7,Godoy Cruz,Belgrano,,
7,Temperley,Independiente,,
7,Colón,Patronato,,
7,Racing Club,Arsenal,,
7,River Plate,Atlético Rafaela,,
7,Gimnasia,Huracán,,
7,Banfield,Vélez,,
7,Rosario Central,Newell`s,,
7,Tigre,Unión,,
7,San Lorenzo,Estudiantes,,
7,Atlético Tucumán,Boca Juniors,,
7,Aldosivi,San Martín (SJ),,
8,Olimpo,Atlético Tucumán,,
8,Patronato,Banfield,,
8,Vélez,Talleres,,
8,Belgrano,Quilmes,,
8,Boca Juniors,Temperley,,
8,Independiente,Gimnasia,,
8,Huracán,Rosario Central,,
8,Estudiantes,Racing Club,,
8,Lanús,Tigre,,
8,Godoy Cruz,Aldosivi,,
8,Newell`s,San Lorenzo,,
8,Atlético Rafaela,Colón,,
8,Arsenal,River Plate,,
8,Def. y Justicia,San Martín (SJ),,
8,Unión,Sarmiento,,
9,Temperley,Olimpo,,
9,Quilmes,Godoy Cruz,,
9,River Plate,Estudiantes,,
9,Sarmiento,Lanús,,
9,Colón,Arsenal,,
9,Racing Club,Newell`s,,
9,San Martín (SJ),Vélez,,
9,Banfield,Atlético Rafaela,,
9,San Lorenzo,Huracán,,
9,Tigre,Belgrano,,
9,Talleres,Patronato,,
9,Rosario Central,Independiente,,
9,Gimnasia,Boca Juniors,,
9,Aldosivi,Def. y Justicia,,
9,Atlético Tucumán,Unión,,
10,Vélez,Def. y Justicia,,
10,Arsenal,Banfield,,
10,Estudiantes,Colón,,
10,Godoy Cruz,Tigre,,
10,Lanús,Atlético Tucumán,,
10,Unión,Temperley,,
10,Huracán,Racing Club,,
10,Quilmes,Aldosivi,,
10,Belgrano,Sarmiento,,
10,Independiente,San Lorenzo,,
10,Boca Juniors,Rosario Central,,
10,Atlético Rafaela,Talleres,,
10,Newell`s,River Plate,,
10,Olimpo,Gimnasia,,
10,Patronato,San Martín (SJ),,
