Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Def. y Justicia,Gimnasia,Facundo Tello,4,1,0,122,185,224.3,181.5,69,68.1,3518,3659,3775
Newell`s,Unión,Fernando Espinoza,5,0,2,90,195,262.7,228.8,59.8,57.3,2709,3002,3235
Boca Juniors,Olimpo,Néstor Fabián Pitana,2,0,2,127,190,221.1,167.4,83.9,62.2,3274,3432,3561
Independiente,Huracán,Patricio Loustau,3,0,0,14,161,214.2,186.2,68.4,55,2849,3091,3285
Atlético Tucumán,Godoy Cruz,Jorge Baliño,5,1,0,120,190,220.9,225.8,61.7,56.1,2760,3025,3237
Talleres,Lanús,Mauro Vigliano,3,0,2,11,297,148,605.8,83.6,72.5,3583,3757,3900
Tigre,Vélez,Darío Herrera,7,0,0,118,177,190.9,202.7,53.6,61.2,1852,2134,2358
Argentinos Juniors,Chacarita,Nicolás Lamolina,5,0,0,66,179,219.2,276.9,54.6,52.3,2203,2572,2859
Banfield,Belgrano,Germán Delfino,4,1,2,82,228,169.3,141.4,57.6,52.4,2764,3030,3241
San Martín (SJ),Patronato,Diego Abal,4,0,0,61,180,224.7,180.8,74.9,68.4,3162,3314,3440
San Lorenzo,Racing Club,Fernando Echenique,5,0,0,133,300,292.8,214.7,67.1,63.4,2622,2882,3089
Temperley,River Plate,Federico Rapallini,6,1,0,78,244,127.7,105.1,52.3,55.4,2972,3175,3339
Colón,Rosario Central,Juan Pablo Pompei,7,0,0,127,212,153.3,213.7,66,73.1,3136,3316,3463
Estudiantes,Arsenal,Silvio Trucco,6,0,0,125,194,218.5,119.4,65.8,43.6,2349,2637,2865
Estudiantes,Def. y Justicia,Fernando Espinoza,6,0,0,64,256,289.3,321.9,67,71.4,2857,3099,3293
Patronato,Argentinos Juniors,Juan Pablo Pompei,4,0,0,59,255,180.5,151.4,62.5,55.8,3169,3417,3616
Rosario Central,San Lorenzo,Patricio Loustau,3,1,0,120,186,152.1,184.8,55.8,57.4,2850,3092,3286
River Plate,Banfield,Néstor Fabián Pitana,5,0,2,76,185,153,120.2,59.4,62.9,3074,3254,3401
Arsenal,Colón,Ariel Penel,2,0,0,54,233,262.7,162.7,49.4,49.4,2147,2452,2693
