Matchday,Home Team,Away Team,Player,Foul,Card,Time,Stoppage
1,Blackburn Rovers,Wolverhampton Wanderers,Roger Johnson,Reckless challenge,Yellow,19,
1,Blackburn Rovers,Wolverhampton Wanderers,Richard Stearman,Reckless challenge,Yellow,21,
1,Blackburn Rovers,Wolverhampton Wanderers,David Dunn,Reckless challenge,Yellow,36,
1,Blackburn Rovers,Wolverhampton Wanderers,Brett Emerton,Reckless challenge,Yellow,38,
1,Blackburn Rovers,Wolverhampton Wanderers,Jason Roberts,Dissent,Yellow,60,
1,Blackburn Rovers,Wolverhampton Wanderers,Steven N'Zonzi,Reckless challenge,Yellow,89,
1,Fulham,Aston Villa,Danny Murphy,Reckless challenge,Yellow,21,
1,Fulham,Aston Villa,Gabriel Agbonlahor,Reckless challenge,Yellow,45,2
1,Fulham,Aston Villa,Emile Heskey,Reckless challenge,Yellow,58,
1,Fulham,Aston Villa,Moussa Dembélé,Off-ball infraction,Yellow,82,
1,Fulham,Aston Villa,Stiliyan Petrov,Off-ball infraction,Yellow,82,
1,Fulham,Aston Villa,Richard Dunne,Reckless challenge,Yellow,84,
1,Liverpool,Sunderland,Kieran Richardson,Reckless challenge,Yellow,6,
1,Liverpool,Sunderland,Lee Cattermole,Reckless challenge,Yellow,27,
1,Liverpool,Sunderland,Phillip Bardsley,Dissent,Yellow,45,1
1,Liverpool,Sunderland,Jamie Carragher,Reckless challenge,Yellow,45,
1,Liverpool,Sunderland,Jordan Henderson,Reckless challenge,Yellow,60,
1,Liverpool,Sunderland,Charlie Adam,Reckless challenge,Yellow,66,
1,Liverpool,Sunderland,Dirk Kuyt,Reckless challenge,Yellow,72,
1,Liverpool,Sunderland,Sebastian Larsson,Reckless challenge,Yellow,78,
1,Newcastle United,Arsenal,Alexandre Song,Reckless challenge,Yellow,29,
1,Newcastle United,Arsenal,Fabricio Coloccini,Reckless challenge,Yellow,45,1
1,Newcastle United,Arsenal,Kieran Gibbs,Reckless challenge,Yellow,48,
1,Newcastle United,Arsenal,Tomáš Rosický,Reckless challenge,Yellow,52,
1,Newcastle United,Arsenal,Cheick Tioté,Reckless challenge,Yellow,67,
1,Newcastle United,Arsenal,Joey Barton,Off-ball infraction,Yellow,76,
1,Newcastle United,Arsenal,Gervinho,Violent conduct,Red,76,
1,Newcastle United,Arsenal,Wojciech Szczęsny,Dissent,Yellow,78,
1,Newcastle United,Arsenal,Thomas Vermaelen,Reckless challenge,Yellow,90,1
1,Queens Park Rangers,Bolton Wanderers,Nigel Reo-Coker,Reckless challenge,Yellow,31,
