Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Mauro Formica,Shot inside penalty area,Left foot,20,
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Cross from open play,Head,22,
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Stephen Ward,Shot outside penalty area,Left foot,47,
1,Liverpool,Sunderland,Liverpool,Luis Suárez,Cross from free kick,Head,12,
1,Liverpool,Sunderland,Sunderland,Sebastian Larsson,Cross from open play,Left foot,57,
1,Manchester City,Swansea City,Manchester City,Edin Džeko,Shot following rebound,Right foot,57,
1,Manchester City,Swansea City,Manchester City,Sergio Agüero,Shot inside goal area,Right foot,68,
1,Manchester City,Swansea City,Manchester City,David Silva,Shot inside goal area,Left foot,71,
1,Manchester City,Swansea City,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,90,
1,Queens Park Rangers,Bolton Wanderers,Bolton Wanderers,Gary Cahill,Shot outside penalty area,Right foot,45,2
1,Queens Park Rangers,Bolton Wanderers,Bolton Wanderers,Daniel Gabbidon,Cross from open play,Unknown,67,
1,Queens Park Rangers,Bolton Wanderers,Bolton Wanderers,Ivan Klasnić,Shot inside penalty area,Left foot,70,
1,Queens Park Rangers,Bolton Wanderers,Bolton Wanderers,Fabrice Muamba,Shot inside penalty area,Right foot,79,
1,Tottenham Hotspur,Everton,Tottenham Hotspur,Aaron Lennon,Shot inside goal area,Left foot,35,
1,Tottenham Hotspur,Everton,Tottenham Hotspur,Benoît Assou-Ekotto,Shot outside penalty area,Left foot,63,
1,West Bromwich Albion,Manchester United,Manchester United,Wayne Rooney,Shot outside penalty area,Left foot,13,
1,West Bromwich Albion,Manchester United,West Bromwich Albion,Shane Long,Shot outside penalty area,Right foot,37,
1,West Bromwich Albion,Manchester United,Manchester United,Steven Reid,Deflected shot,Unknown,81,
1,Wigan Athletic,Norwich City,Norwich City,Wes Hoolahan,Shot inside goal area,Left foot,45,
2,Arsenal,Liverpool,Liverpool,Aaron Ramsey,Deflected shot,Head,78,
2,Arsenal,Liverpool,Liverpool,Luis Suárez,Shot inside penalty area,Right foot,90,
2,Aston Villa,Blackburn Rovers,Aston Villa,Gabriel Agbonlahor,Shot outside penalty area,Right foot,12,
2,Aston Villa,Blackburn Rovers,Aston Villa,Emile Heskey,Shot outside penalty area,Right foot,25,
2,Aston Villa,Blackburn Rovers,Blackburn Rovers,Morten Gamst Pedersen,Cross from open play,Head,52,
2,Aston Villa,Blackburn Rovers,Aston Villa,Darren Bent,Shot following rebound,Left foot,67,
2,Bolton Wanderers,Manchester City,Manchester City,David Silva,Shot outside penalty area,Left foot,26,
2,Bolton Wanderers,Manchester City,Manchester City,Gareth Barry,Shot outside penalty area,Left foot,37,
2,Bolton Wanderers,Manchester City,Bolton Wanderers,Ivan Klasnić,Cross from open play,Left foot,39,
2,Bolton Wanderers,Manchester City,Manchester City,Edin Džeko,Shot inside penalty area,Right foot,47,
2,Bolton Wanderers,Manchester City,Bolton Wanderers,Kevin Davies,Cross from free kick,Head,63,
2,Chelsea,West Bromwich Albion,West Bromwich Albion,Shane Long,Shot inside goal area,Right foot,4,
2,Chelsea,West Bromwich Albion,Chelsea,Nicolas Anelka,Shot inside goal area,Right foot,53,
2,Chelsea,West Bromwich Albion,Chelsea,Florent Malouda,Cross from open play,Left foot,83,
2,Everton,Queens Park Rangers,Queens Park Rangers,Tommy Smith,Shot inside penalty area,Right foot,31,
2,Manchester United,Tottenham Hotspur,Manchester United,Danny Welbeck,Cross from open play,Head,61,
2,Manchester United,Tottenham Hotspur,Manchester United,Anderson,Shot inside penalty area,Left foot,76,
2,Manchester United,Tottenham Hotspur,Manchester United,Wayne Rooney,Cross from open play,Head,87,
2,Norwich City,Stoke City,Norwich City,Ritchie de Laet,Cross from free kick,Head,37,
2,Norwich City,Stoke City,Stoke City,Kenwyne Jones,Cross from open play,Head,90,4
2,Sunderland,Newcastle United,Newcastle United,Ryan Taylor,Direct from free kick,Right foot,62,
2,Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Kevin Doyle,Cross from open play,Left foot,42,
2,Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Matthew Jarvis,Shot following rebound,Right foot,45,
3,Chelsea,Norwich City,Chelsea,José Bosingwa,Shot inside penalty area,Right foot,6,
3,Chelsea,Norwich City,Norwich City,Grant Holt,Shot inside goal area,Right foot,63,
3,Chelsea,Norwich City,Chelsea,Juan Mata,Shot inside goal area,Left foot,90,1
3,Liverpool,Bolton Wanderers,Liverpool,Jordan Henderson,Shot inside penalty area,Left foot,15,
3,Liverpool,Bolton Wanderers,Liverpool,Martin Škrtel,Cross from corner kick,Head,52,
3,Liverpool,Bolton Wanderers,Liverpool,Charlie Adam,Shot outside penalty area,Right foot,53,
3,Liverpool,Bolton Wanderers,Bolton Wanderers,Ivan Klasnić,Shot inside goal area,Left foot,90,2
3,Manchester United,Arsenal,Manchester United,Danny Welbeck,Cross from open play,Head,22,
3,Manchester United,Arsenal,Manchester United,Ashley Young,Shot outside penalty area,Right foot,28,
3,Manchester United,Arsenal,Manchester United,Wayne Rooney,Direct from free kick,Right foot,41,
3,Manchester United,Arsenal,Arsenal,Theo Walcott,Shot inside penalty area,Right foot,45,3
3,Manchester United,Arsenal,Manchester United,Wayne Rooney,Direct from free kick,Right foot,64,
3,Manchester United,Arsenal,Manchester United,Nani,Shot inside penalty area,Left foot,67,
3,Manchester United,Arsenal,Manchester United,Park Ji-Sung,Shot outside penalty area,Right foot,70,
3,Manchester United,Arsenal,Arsenal,Robin van Persie,Shot inside goal area,Left foot,74,
3,Manchester United,Arsenal,Manchester United,Ashley Young,Shot outside penalty area,Right foot,90,1
3,Newcastle United,Fulham,Newcastle United,Leon Best,Shot following rebound,Right foot,48,
3,Newcastle United,Fulham,Newcastle United,Leon Best,Shot inside penalty area,Right foot,66,
3,Newcastle United,Fulham,Fulham,Clint Dempsey,Cross from free kick,Head,88,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Cross from open play,Right foot,34,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Cross from open play,Head,41,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Shot inside goal area,Left foot,55,
3,Tottenham Hotspur,Manchester City,Manchester City,Sergio Agüero,Shot inside penalty area,Left foot,60,
3,Tottenham Hotspur,Manchester City,Tottenham Hotspur,Younes Kaboul,Cross from corner kick,Head,68,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Shot outside penalty area,Left foot,90,3
3,West Bromwich Albion,Stoke City,Stoke City,Ryan Shotton,Shot inside goal area,Right foot,89,
3,Wigan Athletic,Queens Park Rangers,Wigan Athletic,Franco Di Santo,Shot outside penalty area,Right foot,41,
3,Wigan Athletic,Queens Park Rangers,Wigan Athletic,Franco Di Santo,Cross from open play,Right foot,66,
4,Arsenal,Swansea City,Arsenal,Andrey Arshavin,Shot inside penalty area,Left foot,40,
4,Bolton Wanderers,Manchester United,Manchester United,Javier Hernández,Cross from open play,Right foot,5,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Cross from open play,Right foot,20,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Cross from open play,Right foot,25,
4,Bolton Wanderers,Manchester United,Manchester United,Javier Hernández,Shot inside goal area,Right foot,58,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Shot outside penalty area,Right foot,68,
4,Everton,Aston Villa,Everton,Leon Osman,Shot inside penalty area,Left foot,19,
4,Everton,Aston Villa,Aston Villa,Stiliyan Petrov,Shot outside penalty area,Right foot,63,
4,Everton,Aston Villa,Aston Villa,Gabriel Agbonlahor,Cross from open play,Head,83,
4,Fulham,Blackburn Rovers,Blackburn Rovers,Rubén Rochina,Shot outside penalty area,Left foot,32,
4,Fulham,Blackburn Rovers,Fulham,Bobby Zamora,Shot inside penalty area,Left foot,38,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot inside penalty area,Right foot,13,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,63,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,69,
4,Norwich City,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Through pass creates 1-v-1,Foot,3,
4,Sunderland,Chelsea,Chelsea,John Terry,Shot inside goal area,Left foot,18,
4,Sunderland,Chelsea,Chelsea,Daniel Sturridge,Shot inside penalty area,Right foot,51,
4,Sunderland,Chelsea,Sunderland,Ji Dong-Won,Shot inside penalty area,Left foot,90,1
4,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,Emmanuel Adebayor,Shot inside goal area,Right foot,67,
4,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Shot inside goal area,Right foot,80,
5,Aston Villa,Newcastle United,Aston Villa,Gabriel Agbonlahor,Cross from open play,Left foot,13,
5,Aston Villa,Newcastle United,Newcastle United,Leon Best,Cross from open play,Right foot,57,
5,Blackburn Rovers,Arsenal,Arsenal,Gervinho,Shot inside penalty area,Right foot,10,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Yakubu,Shot inside penalty area,Right foot,25,
5,Blackburn Rovers,Arsenal,Arsenal,Mikel Arteta,Shot outside penalty area,Right foot,34,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Alexandre Song,Cross from free kick,Unknown,50,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Yakubu,Cross from open play,Foot,59,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Laurent Koscielny,Cross from open play,Unknown,69,
5,Blackburn Rovers,Arsenal,Arsenal,Marouane Chamakh,Cross from open play,Head,85,
5,Bolton Wanderers,Norwich City,Norwich City,Anthony Pilkington,Shot inside goal area,Left foot,37,
5,Bolton Wanderers,Norwich City,Norwich City,Bradley Johnson,Cross from free kick,Head,42,
5,Everton,Wigan Athletic,Wigan Athletic,Franco Di Santo,Cross from corner kick,Right foot,31,
5,Everton,Wigan Athletic,Everton,Phil Jagielka,Flick on from corner kick,Head,33,
5,Everton,Wigan Athletic,Everton,Apostolos Vellios,Cross from open play,Head,84,
5,Everton,Wigan Athletic,Everton,Royston Drenthe,Shot inside penalty area,Left foot,90,8
5,Fulham,Manchester City,Manchester City,Sergio Agüero,Shot inside penalty area,Right foot,18,
5,Fulham,Manchester City,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,46,
5,Fulham,Manchester City,Fulham,Bobby Zamora,Shot outside penalty area,Right foot,55,
5,Fulham,Manchester City,Fulham,Danny Murphy,Shot outside penalty area,Right foot,75,
5,Manchester United,Chelsea,Manchester United,Chris Smalling,Cross from free kick,Head,8,
5,Manchester United,Chelsea,Manchester United,Nani,Shot outside penalty area,Right foot,37,
5,Manchester United,Chelsea,Manchester United,Wayne Rooney,Shot inside goal area,Right foot,45,
