Country,First Name,Middle Name,Last Name,Second Last Name,Nickname,DOB,Name Order
England,Stephen,Roger,Bruce,,Steve Bruce,1960-12-31,Western
England,Terence,Fitzroy,Connor,,Terry Connor,1962-11-09,Western
Scotland,Owen,Columba,Coyle,,,1966-08-14,Western
Scotland,Kenneth,Mathieson,Dalglish,,Kenny Dalglish,1951-03-04,Western
Italy,Roberto,,Di Matteo,,,1970-05-29,Western
Scotland,Alexander,Chapman,Ferguson,,Alex Ferguson,1941-12-31,Western
England,Roy,,Hodgson,,,1947-08-09,Western
England,Ian,Scott,Holloway,,,1963-03-12,Western
France,Gérard,,Houllier,,,1947-09-03,Western
Wales,Leslie,Mark,Hughes,,Mark Hughes,1963-11-01,Western
Netherlands,Maarten,Cornelis,Jol,,Martin Jol,1956-01-16,Western
Scotland,Stephen,,Kean,,Steve Kean,1967-09-30,Western
England,Kevin,Ian,Keen,,,1967-02-25,Western
Scotland,Paul,,Lambert,,,1969-08-07,Western
Italy,Roberto,,Mancini,,,1964-11-27,Western
Spain,Roberto,,Martínez,Montoliú,,1973-07-13,Western
Republic of Ireland,Michael,Joseph,McCarthy,,Mick McCarthy,1959-02-07,Western
Scotland,Alexander,,McLeish,,Alex McLeish,1959-01-21,Western
Scotland,David,William,Moyes,,,1963-04-25,Western
Northern Ireland,Martin,Hugh Michael,O'Neill,,,1952-03-01,Western
England,Alan,Scott,Pardew,,,1961-07-18,Western
Wales,Anthony,Richard,Pulis,,Tony Pulis,1958-01-16,Western
England,Henry,James,Redknapp,,Harry Redknapp,1947-03-02,Western
Northern Ireland,Brendan,,Rodgers,,,1973-01-26,Western
Portugal,Luís,André,de Pina Cabral,Villas-Boas,André Villas-Boas,1977-10-17,Western
England,Neil,,Warnock,,,1948-12-01,Western
France,Arsène,,Wenger,,,1949-10-22,Western
