Matchday,Home Team,Away Team,Player's Team,Player,Starting,Captain
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Brett Emerton,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,David Dunn,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Grant Hanley,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Jason Roberts,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Junior Hoilett,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Martin Olsson,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Mauro Formica,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Míchel Salgado,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Morten Gamst Pedersen,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Paul Robinson:1979-10-15,1,1
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Steven N'Zonzi,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Christophe Berra,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Jamie O'Hara,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Karl Henry,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Doyle,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Richard Stearman,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Roger Johnson,1,1
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Stephen Hunt,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Stephen Ward,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wayne Hennessey,1,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,David Goodwillie,0,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Nick Blackman,0,0
1,Blackburn Rovers,Wolverhampton Wanderers,Blackburn Rovers,Rubén Rochina,0,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,George Elokobi,0,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Foley,0,0
1,Blackburn Rovers,Wolverhampton Wanderers,Wolverhampton Wanderers,Stefan Maierhofer,0,0
1,Fulham,Aston Villa,Aston Villa,Luke Young,1,0
1,Fulham,Aston Villa,Aston Villa,Charles N'Zogbia,1,0
1,Fulham,Aston Villa,Aston Villa,Darren Bent,1,0
1,Fulham,Aston Villa,Aston Villa,Emile Heskey,1,0
1,Fulham,Aston Villa,Aston Villa,Fabian Delph,1,0
1,Fulham,Aston Villa,Aston Villa,Gabriel Agbonlahor,1,0
1,Fulham,Aston Villa,Aston Villa,James Collins,1,0
1,Fulham,Aston Villa,Aston Villa,Richard Dunne,1,0
1,Fulham,Aston Villa,Aston Villa,Shay Given,1,0
1,Fulham,Aston Villa,Aston Villa,Stephen Warnock,1,0
1,Fulham,Aston Villa,Aston Villa,Stiliyan Petrov,1,1
1,Fulham,Aston Villa,Fulham,Aaron Hughes,1,0
1,Fulham,Aston Villa,Fulham,Andrew Johnson,1,0
1,Fulham,Aston Villa,Fulham,Bobby Zamora,1,0
1,Fulham,Aston Villa,Fulham,Brede Hangeland,1,0
1,Fulham,Aston Villa,Fulham,Clint Dempsey,1,0
1,Fulham,Aston Villa,Fulham,Damien Duff,1,0
1,Fulham,Aston Villa,Fulham,Danny Murphy,1,1
1,Fulham,Aston Villa,Fulham,Dickson Etuhu,1,0
1,Fulham,Aston Villa,Fulham,John Arne Riise,1,0
1,Fulham,Aston Villa,Fulham,Mark Schwarzer,1,0
1,Fulham,Aston Villa,Fulham,Philippe Senderos,1,0
1,Fulham,Aston Villa,Aston Villa,Ciaran Clark,0,0
1,Fulham,Aston Villa,Aston Villa,Marc Albrighton,0,0
1,Fulham,Aston Villa,Fulham,Moussa Dembélé,0,0
1,Liverpool,Sunderland,Liverpool,Andy Carroll,1,0
1,Liverpool,Sunderland,Liverpool,Charlie Adam,1,0
1,Liverpool,Sunderland,Liverpool,Daniel Agger,1,0
1,Liverpool,Sunderland,Liverpool,Jamie Carragher,1,1
1,Liverpool,Sunderland,Liverpool,Jon Flanagan,1,0
1,Liverpool,Sunderland,Liverpool,Jordan Henderson,1,0
1,Liverpool,Sunderland,Liverpool,José Enrique,1,0
1,Liverpool,Sunderland,Liverpool,Pepe Reina,1,0
1,Liverpool,Sunderland,Liverpool,Lucas Leiva,1,0
1,Liverpool,Sunderland,Liverpool,Luis Suárez,1,0
1,Liverpool,Sunderland,Liverpool,Stewart Downing,1,0
1,Liverpool,Sunderland,Sunderland,Ahmed Elmohamady,1,0
1,Liverpool,Sunderland,Sunderland,Anton Ferdinand,1,0
1,Liverpool,Sunderland,Sunderland,Asamoah Gyan,1,0
1,Liverpool,Sunderland,Sunderland,Jack Colback,1,0
1,Liverpool,Sunderland,Sunderland,Kieran Richardson,1,0
1,Liverpool,Sunderland,Sunderland,Lee Cattermole,1,1
1,Liverpool,Sunderland,Sunderland,Phillip Bardsley,1,0
1,Liverpool,Sunderland,Sunderland,Sebastian Larsson,1,0
1,Liverpool,Sunderland,Sunderland,Simon Mignolet,1,0
1,Liverpool,Sunderland,Sunderland,Stéphane Sessègnon,1,0
1,Liverpool,Sunderland,Sunderland,Wes Brown,1,0
1,Liverpool,Sunderland,Liverpool,Dirk Kuyt,0,0
1,Liverpool,Sunderland,Liverpool,Raul Meireles,0,0
1,Liverpool,Sunderland,Sunderland,David Vaughan,0,0
1,Liverpool,Sunderland,Sunderland,Ji Dong-Won,0,0
1,Manchester City,Swansea City,Manchester City,Adam Johnson,1,0
1,Manchester City,Swansea City,Manchester City,David Silva,1,0
