Matchday,Home Team,Away Team,Penalty Taker,Foul,Outcome,Time,Stoppage
1,Blackburn Rovers,Wolverhampton Wanderers,Kevin Doyle,Reckless challenge,Save,47,
1,Liverpool,Sunderland,Luis Suárez,Reckless challenge,Over crossbar,6,
1,Wigan Athletic,Norwich City,Ben Watson,Reckless challenge,Goal,21,
2,Norwich City,Stoke City,Jonathan Walters,Professional foul,Save,65,
2,Swansea City,Wigan Athletic,Ben Watson,Reckless challenge,Save,73,
3,Blackburn Rovers,Everton,Junior Hoilett,Reckless challenge,Save,47,
3,Blackburn Rovers,Everton,Mauro Formica,Reckless challenge,Hit post,84,
3,Blackburn Rovers,Everton,Mikel Arteta,Reckless challenge,Goal,90,2
3,Chelsea,Norwich City,Frank Lampard,Professional foul,Goal,82,
3,Manchester United,Arsenal,Robin van Persie,Holding,Save,27,
3,Manchester United,Arsenal,Wayne Rooney,Reckless challenge,Goal,81,
4,Everton,Aston Villa,Leighton Baines,Reckless challenge,Goal,69,
4,Manchester City,Wigan Athletic,Carlos Tevez,Reckless challenge,Save,18,
4,Norwich City,West Bromwich Albion,Peter Odemwingie,Reckless challenge,Save,76,
4,Stoke City,Liverpool,Jonathan Walters,Reckless challenge,Goal,21,
5,Bolton Wanderers,Norwich City,Martin Petrov,Reckless challenge,Goal,64,
5,Manchester United,Chelsea,Wayne Rooney,Reckless challenge,Wide of post,57,
5,Swansea City,West Bromwich Albion,Scott Sinclair,Reckless challenge,Goal,14,
6,Queens Park Rangers,Aston Villa,Barry Bannan,Reckless challenge,Goal,58,
7,Everton,Liverpool,Dirk Kuyt,Reckless challenge,Save,44,
7,Fulham,Queens Park Rangers,Danny Murphy,Reckless challenge,Goal,20,
7,Swansea City,Stoke City,Scott Sinclair,Reckless challenge,Goal,9,
8,Newcastle United,Tottenham Hotspur,Rafael van der Vaart,Reckless challenge,Goal,40,
8,Wigan Athletic,Bolton Wanderers,Kevin Davies,Reckless challenge,Save,73,
9,Aston Villa,West Bromwich Albion,Darren Bent,Reckless challenge,Goal,23,
9,Aston Villa,West Bromwich Albion,Chris Brunt,Reckless challenge,Wide of post,36,
9,Queens Park Rangers,Chelsea,Heiðar Helguson,Reckless challenge,Goal,10,
10,Manchester City,Wolverhampton Wanderers,Stephen Hunt,Reckless challenge,Goal,75,
10,Norwich City,Blackburn Rovers,Grant Holt,Handball,Goal,90,4
10,Stoke City,Newcastle United,Jonathan Walters,Reckless challenge,Goal,75,
10,Stoke City,Newcastle United,Demba Ba,Reckless challenge,Goal,81,
10,Swansea City,Bolton Wanderers,Scott Sinclair,Reckless challenge,Goal,57,
10,West Bromwich Albion,Liverpool,Charlie Adam,Reckless challenge,Goal,9,
11,Wolverhampton Wanderers,Wigan Athletic,Ben Watson,Reckless challenge,Save,42,
12,Everton,Wolverhampton Wanderers,Stephen Hunt,Reckless challenge,Goal,37,
12,Everton,Wolverhampton Wanderers,Leighton Baines,Reckless challenge,Goal,83,
12,Manchester City,Newcastle United,Mario Balotelli,Handball,Goal,41,
12,Manchester City,Newcastle United,Sergio Agüero,Reckless challenge,Goal,72,
12,West Bromwich Albion,Bolton Wanderers,Ivan Klasnić,Reckless challenge,Goal,21,
12,Wigan Athletic,Blackburn Rovers,Yakubu,Reckless challenge,Goal,90,9
13,Manchester United,Newcastle United,Demba Ba,Reckless challenge,Goal,64,
13,Sunderland,Wigan Athletic,Jordi Gómez,Reckless challenge,Goal,44,
