ID,Country,First Name,Middle Name,Last Name,Second Last Name,Nickname,Name Order,DOB,Position
28566,France,Vassiriki,,Abou Diaby,,,,1986-05-11,Central Midfielder
20208,Scotland,Charlie,Graham,Adam,,,,1985-12-10,Central Midfielder
17500,Togo,Sheyi,Emmanuel,Adebayor,,Emmanuel Adebayor,,1984-02-26,Striker
27450,England,Gabriel,,Agbonlahor,,,,1986-10-13,Striker
21094,Denmark,Daniel,Munthe,Agger,,,,1984-12-12,Central Defender
37572,Argentina,Sergio,Leonel,Agüero,,,,1988-06-02,Striker
39217,Netherlands,Kemy,,Agustien,,,,1986-08-20,Central Midfielder
5730,Ghana,Patrick,,Agyemang,,,,1980-09-29,Striker
13239,Nigeria,Yakubu,,Aiyegbeni,,Yakubu,,1982-11-22,Striker
28491,Oman,Ali,,Al-Habsi,,,,1981-12-30,Goalkeeper
51938,England,Marc,,Albrighton,,,,1989-11-18,Right Winger
43035,Paraguay,Antolín,,Alcaraz,Viveros,,,1982-07-30,Central Defender
40555,Wales,Joseph,Michael,Allen,,,,1990-03-14,Midfielder
38530,Portugal,Luís,Carlos,Almeida,da Cunha,Nani,,1986-11-17,Left Winger
82263,Spain,Marcos,,Alonso,Mendoza,,,1990-12-28,Left Full-back
6240,Nigeria,Foluwashola,,Ameobi,,Shola Ameobi,,1981-10-12,Striker
97612,England,Samuel,,Ameobi,,Sammy Ameobi,,1992-05-01,Striker
51922,England,Ben,,Amos,,,,1990-04-10,Goalkeeper
7670,Republic of Ireland,Keith,,Andrews,,,,1980-09-13,Midfielder
3897,France,Nicolas,,Anelka,,,,1979-03-14,Striker
28593,Nigeria,Victor,,Anichebe,,,,1988-04-23,Striker
13227,Russia,Andrey,Sergeyevich,Arshavin,,,,1981-05-29,Left Forward
8758,Spain,Mikel,,Arteta,Amatriain,,,1982-03-26,Midfielder
28146,Cameroon,Benoît,,Assou-Ekotto,,,,1984-03-24,Left Full-back
3665,Brazil,Fábio,,Aurélio,Rodrigues,,,1979-09-24,Left Full-back
47412,Senegal,Demba,,Ba,,,,1985-05-25,Striker
12745,England,Leighton,,Baines,,,,1984-12-11,Left Full-back
15968,Northern Ireland,Chris,,Baird,,,,1982-02-25,Defender
52477,England,Nathan,,Baker,,,,1991-04-23,Defender
36903,Wales,Gareth,Frank,Bale,,,,1989-07-16,Left Winger
42493,Italy,Mario,,Balotelli,,,,1990-08-12,Striker
59013,Scotland,Barry,,Bannan,,,,1989-12-01,Midfielder
17997,Scotland,Phillip,,Bardsley,,,,1985-06-28,Defender
88894,England,Ross,,Barkley,,,,1993-12-05,Midfielder
15201,England,Leon,,Barnett,,,,1985-11-30,Defender
1632,England,Gareth,,Barry,,,,1981-02-23,Central Midfielder
15276,England,Joey,,Barton,,,,1982-09-02,Midfielder
42744,Cameroon,Sébastien,,Bassong,,,,1986-07-09,Defender
55586,England,Jose,,Baxter,,,,1992-02-07,Striker
33298,Chile,Jean,André Emanuel,Beausejour,Coliqueo,,,1984-06-01,Left Winger
32317,England,Jermaine,,Beckford,,,,1983-12-09,Striker
40349,Bosnia and Herzegovina,Asmir,,Begović,,,,1987-06-20,Goalkeeper
1231,Wales,Craig,Douglas,Bellamy,,,,1979-07-13,Striker
18753,France,Hatem,,Ben Arfa,,,,1987-03-07,Midfielder
13594,Israel,Yossi,,Benayoun,,,,1980-05-05,Midfielder
27697,Denmark,Nicklas,,Bendtner,,,,1988-01-16,Striker
41262,England,Elliott,,Bennett,,,,1988-12-18,Midfielder
41727,England,Ryan,,Bennett,,,,1990-03-06,Defender
10738,England,Darren,,Bent,,,,1984-02-06,Striker
8595,Bulgaria,Dimitar,,Berbatov,,,,1981-01-30,Striker
19008,Scotland,Christophe,,Berra,,,,1985-01-31,Central Defender
40146,England,Ryan,,Bertrand,,,,1989-08-05,Left Full-back
51511,Argentina,Federico,,Bessone,Luna,,,1984-01-23,Left Full-back
16005,Republic of Ireland,Leon,,Best,,,,1986-09-19,Striker
17891,Russia,Diniyar,Rinatovich,Bilyaletdinov,,,,1985-02-27,Midfielder
40501,England,Nick,,Blackman,,,,1989-11-11,Striker
1615,England,Robbie,,Blake,,,,1976-03-04,Striker
45175,Hungary,Ádám,,Bogdán,,,,1987-09-27,Goalkeeper
11278,Portugal,José,,Bosingwa,da Silva,,,1982-08-24,Right Full-back
4255,England,Jay,,Bothroyd,,,,1982-05-05,Striker
80235,Belgium,Anga Dedryck,,Boyata,,Dedryck Boyata,,1990-11-28,Defender
3296,Barbados,Emmerson,Orlando,Boyce,,,,1979-09-24,Defender
46581,Portugal,Orlando,Carlos,Braga,da Sá,Orlando Sá,,1988-05-26,Striker
1131,England,Titus,,Bramble,,,,1981-07-31,Defender
1940,England,Wayne,,Bridge,,,,1980-08-05,Left Full-back
42425,England,Matthew,,Briggs,,,,1991-03-09,Defender
15114,England,Leon,,Britton,,,,1982-09-16,Midfielder
1841,England,Wes,,Brown,,,,1979-10-13,Defender
19151,Northern Ireland,Chris,,Brunt,,,,1984-12-14,Midfielder
10954,England,Mark,,Bunn,,,,1984-11-16,Goalkeeper
18586,Hungary,Ákos,,Buzsáky,,,,1982-05-07,Midfielder
27341,France,Yohan,,Cabaye,,,,1986-01-14,Midfielder
19419,England,Gary,,Cahill,,,,1985-12-19,Central Defender
3273,Australia,Tim,Filiga,Cahill,,,,1979-12-06,Midfielder
53238,Brazil,Bruno,,Caldini,Perone,Bruno Perone,,1987-07-06,Central Defender
11911,Scotland,Gary,,Caldwell,,,,1982-04-12,Central Defender
19645,England,DJ,,Campbell,,,,1981-11-12,Striker
28541,England,Fraizer,,Campbell,,,,1987-09-13,Striker
1809,England,Jamie,,Carragher,,,,1978-01-28,Defender
2404,England,Michael,,Carrick,,,,1981-07-28,Central Midfielder
40142,England,Andy,,Carroll,,,,1989-01-06,Striker
114042,Republic of Ireland,Samir,,Carruthers,,,,1993-04-04,Midfielder
91128,Portugal,Bruno,Miguel,Carvalho,Andrade,Bruno Andrade,,1993-10-02,Midfielder
28448,England,Lee,,Cattermole,,,,1988-03-21,Midfielder
68815,England,Steven,,Caulker,,,,1991-12-29,Defender
11334,Czech Republic,Petr,,Čech,,,,1982-05-20,Goalkeeper
4202,Czech Republic,Radek,,Černý,,,,1974-02-18,Goalkeeper
15675,Morocco,Marouane,,Chamakh,,,,1984-01-10,Striker
6286,France,Djibril,,Cissé,,,,1981-08-12,Striker
42758,Senegal,Papiss Demba,,Cissé,,,,1985-06-03,Striker
57214,Brazil,André,,Clarindo,dos Santos,André Santos,,1983-03-08,Left Full-back
58845,Republic of Ireland,Ciaran,,Clark,,,,1989-09-26,Defender
43250,England,Tom,,Cleverley,,,,1989-08-12,Midfielder
17336,France,Gaël,,Clichy,,,,1985-07-26,Left Full-back
78108,Uruguay,Sebastián,,Coates,Nion,,,1990-10-07,Central Defender
58771,England,Jack,,Colback,,,,1989-10-24,Midfielder
3785,England,Ashley,,Cole,,,,1980-12-20,Left Full-back
59949,Republic of Ireland,Séamus,,Coleman,,,,1988-10-11,Defender
8380,Wales,James,Michael,Collins,,,,1983-08-23,Central Defender
7933,Argentina,Fabricio,,Coloccini,,,,1982-01-22,Central Defender
27698,England,Matthew,,Connolly,,,,1987-09-24,Defender
56864,France,Francis,,Coquelin,,,,1991-05-13,Midfielder
38462,Croatia,Vedran,,Ćorluka,,,,1986-02-05,Defender
27440,Republic of Ireland,Simon,,Cox,,,,1987-04-28,Striker
1989,England,Jody,,Craddock,,,,1975-07-25,Central Defender
14898,Wales,Andrew,Lawrence,Crofts,,,,1984-05-29,Midfielder
3773,England,Peter,,Crouch,,,,1981-01-30,Striker
