Matchday,Home Team,Away Team,Player In,Player Out,Time,Stoppage
1,Blackburn Rovers,Wolverhampton Wanderers,Rubén Rochina,Brett Emerton,46,
1,Blackburn Rovers,Wolverhampton Wanderers,Kevin Foley,Richard Stearman,49,
1,Blackburn Rovers,Wolverhampton Wanderers,David Goodwillie,Morten Gamst Pedersen,72,
1,Blackburn Rovers,Wolverhampton Wanderers,George Elokobi,Matthew Jarvis,75,
1,Blackburn Rovers,Wolverhampton Wanderers,Nick Blackman,Mauro Formica,84,
1,Blackburn Rovers,Wolverhampton Wanderers,Stefan Maierhofer,Stephen Hunt,90,
1,Fulham,Aston Villa,Marc Albrighton,Charles N'Zogbia,67,
1,Fulham,Aston Villa,Moussa Dembélé,Bobby Zamora,73,
1,Fulham,Aston Villa,Ciaran Clark,Stiliyan Petrov,89,
1,Liverpool,Sunderland,Dirk Kuyt,Jordan Henderson,60,
1,Liverpool,Sunderland,Ji Dong-Won,Asamoah Gyan,66,
1,Liverpool,Sunderland,Raul Meireles,Luis Suárez,75,
1,Liverpool,Sunderland,David Vaughan,Sebastian Larsson,80,
1,Manchester City,Swansea City,Sergio Agüero,Nigel de Jong,59,
1,Manchester City,Swansea City,Joe Allen,Leon Britton,64,
1,Manchester City,Swansea City,Wayne Routledge,Stephen Dobbie,64,
1,Manchester City,Swansea City,Stefan Savić,Adam Johnson,74,
1,Manchester City,Swansea City,James Milner,David Silva,81,
1,Manchester City,Swansea City,Leroy Lita,Nathan Dyer,81,
1,Newcastle United,Arsenal,Gabriel Obertan,Demba Ba,46,
1,Newcastle United,Arsenal,Theo Walcott,Andrey Arshavin,61,
1,Newcastle United,Arsenal,Leon Best,Shola Ameobi,73,
1,Newcastle United,Arsenal,Peter Løvenkrands,Yohan Cabaye,81,
1,Newcastle United,Arsenal,Emmanuel Frimpong,Tomáš Rosický,85,
1,Newcastle United,Arsenal,Johan Djourou,Aaron Ramsey,90,3
1,Queens Park Rangers,Bolton Wanderers,Bradley Orr,Kieron Dyer,7,
1,Queens Park Rangers,Bolton Wanderers,Ákos Buzsáky,Adel Taarabt,72,
1,Queens Park Rangers,Bolton Wanderers,Heiðar Helguson,Tommy Smith,72,
1,Queens Park Rangers,Bolton Wanderers,Mark Davies,Chris Eagles,81,
1,Queens Park Rangers,Bolton Wanderers,Darren Pratley,Nigel Reo-Coker,83,
1,Queens Park Rangers,Bolton Wanderers,Robbie Blake,Ivan Klasnić,86,
1,Stoke City,Chelsea,Dean Whitehead,Matthew Etherington,62,
1,Stoke City,Chelsea,Nicolas Anelka,Florent Malouda,65,
1,Stoke City,Chelsea,Danny Pugh,Rory Delap,71,
1,Stoke City,Chelsea,Didier Drogba,Salomon Kalou,75,
1,Stoke City,Chelsea,Ryan Shotton,Kenwyne Jones,86,
1,Stoke City,Chelsea,Yossi Benayoun,Fernando Torres,89,
1,Tottenham Hotspur,Everton,Shane Duffy,Sylvain Distin,59,
1,Tottenham Hotspur,Everton,Royston Drenthe,Victor Anichebe,68,
1,Tottenham Hotspur,Everton,Steven Pienaar,Aaron Lennon,78,
1,Tottenham Hotspur,Everton,Magaye Gueye,Diniyar Bilyaletdinov,82,
1,Tottenham Hotspur,Everton,Roman Pavlyuchenko,Emmanuel Adebayor,87,
1,West Bromwich Albion,Manchester United,Jonny Evans,Nemanja Vidić,52,
1,West Bromwich Albion,Manchester United,Dimitar Berbatov,Danny Welbeck,65,
1,West Bromwich Albion,Manchester United,Phil Jones,Rio Ferdinand,75,
1,West Bromwich Albion,Manchester United,Gonzalo Jara,Steven Reid,85,
1,West Bromwich Albion,Manchester United,Simon Cox,Shane Long,87,
1,Wigan Athletic,Norwich City,Conor Sammon,Franco Di Santo,53,
1,Wigan Athletic,Norwich City,Hugo Rodallega,Jordi Gómez,53,
1,Wigan Athletic,Norwich City,Leon Barnett,Zak Whitbread,71,
1,Wigan Athletic,Norwich City,Elliott Bennett,Andrew Surman,75,
1,Wigan Athletic,Norwich City,Anthony Pilkington,Steve Morison,75,
1,Wigan Athletic,Norwich City,Ronnie Stam,Piscu,82,
2,Arsenal,Liverpool,Ignasi Miquel,Laurent Koscielny,15,
2,Arsenal,Liverpool,Henri Lansbury,Andrey Arshavin,71,
2,Arsenal,Liverpool,Luis Suárez,Andy Carroll,71,
2,Arsenal,Liverpool,Raul Meireles,Dirk Kuyt,71,
2,Arsenal,Liverpool,Nicklas Bendtner,Theo Walcott,80,
2,Aston Villa,Blackburn Rovers,Marc Albrighton,Gabriel Agbonlahor,46,
2,Aston Villa,Blackburn Rovers,Ciaran Clark,Luke Young,56,
2,Aston Villa,Blackburn Rovers,Barry Bannan,Emile Heskey,66,
2,Aston Villa,Blackburn Rovers,Mauro Formica,Jason Roberts,75,
2,Aston Villa,Blackburn Rovers,Radosav Petrović,Morten Gamst Pedersen,75,
2,Bolton Wanderers,Manchester City,Mark Davies,Fabrice Muamba,59,
2,Bolton Wanderers,Manchester City,Carlos Tevez,Sergio Agüero,68,
2,Bolton Wanderers,Manchester City,Darren Pratley,Chris Eagles,79,
2,Bolton Wanderers,Manchester City,Adam Johnson,Edin Džeko,80,
2,Bolton Wanderers,Manchester City,Pablo Zabaleta,David Silva,88,
2,Chelsea,West Bromwich Albion,Florent Malouda,Salomon Kalou,35,
2,Chelsea,West Bromwich Albion,Didier Drogba,Fernando Torres,60,
2,Chelsea,West Bromwich Albion,Branislav Ivanović,Alex,66,
2,Chelsea,West Bromwich Albion,Peter Odemwingie,Somen Tchoyi,75,
2,Chelsea,West Bromwich Albion,Graham Dorrans,Youssouf Mulumbu,87,
2,Everton,Queens Park Rangers,Mikel Arteta,Jack Rodwell,54,
2,Everton,Queens Park Rangers,Jay Bothroyd,Patrick Agyemang,55,
2,Everton,Queens Park Rangers,Marouane Fellaini,Jermaine Beckford,63,
2,Everton,Queens Park Rangers,Hogan Ephraim,Tommy Smith,66,
2,Everton,Queens Park Rangers,Louis Saha,Johnny Heitinga,74,
2,Manchester United,Tottenham Hotspur,Vedran Ćorluka,Kyle Walker,46,
2,Manchester United,Tottenham Hotspur,Tom Huddlestone,Jake Livermore,74,
2,Manchester United,Tottenham Hotspur,Roman Pavlyuchenko,Niko Kranjčar,74,
2,Manchester United,Tottenham Hotspur,Park Ji-Sung,Ashley Young,81,
2,Manchester United,Tottenham Hotspur,Javier Hernández,Danny Welbeck,81,
2,Manchester United,Tottenham Hotspur,Ryan Giggs,Tom Cleverley,81,
2,Norwich City,Stoke City,Danny Pugh,Jermaine Pennant,31,
2,Norwich City,Stoke City,Daniel Ayala,Anthony Pilkington,66,
2,Norwich City,Stoke City,Andrew Surman,Elliott Bennett,74,
2,Norwich City,Stoke City,Ryan Shotton,Jonathan Woodgate,77,
2,Norwich City,Stoke City,Simeon Jackson,Chris Martin,84,
2,Sunderland,Newcastle United,Craig Gardner,Ahmed Elmohamady,71,
2,Sunderland,Newcastle United,Ji Dong-Won,Kieran Richardson,71,
2,Sunderland,Newcastle United,Connor Wickham,Sebastian Larsson,81,
2,Sunderland,Newcastle United,Dan Gosling,Gabriel Obertan,85,
2,Sunderland,Newcastle United,Michael Williamson,Yohan Cabaye,85,
2,Swansea City,Wigan Athletic,Ronnie Stam,Antolín Alcaraz,37,
2,Swansea City,Wigan Athletic,James McArthur,James McCarthy,64,
2,Swansea City,Wigan Athletic,Stephen Dobbie,Wayne Routledge,66,
2,Swansea City,Wigan Athletic,Hugo Rodallega,Franco Di Santo,70,
2,Swansea City,Wigan Athletic,Joe Allen,Leon Britton,75,
2,Swansea City,Wigan Athletic,Leroy Lita,Danny Graham,90,1
2,Wolverhampton Wanderers,Fulham,Steve Sidwell,Dickson Etuhu,46,
2,Wolverhampton Wanderers,Fulham,Moussa Dembélé,Pajtim Kasami,46,
2,Wolverhampton Wanderers,Fulham,Kevin Foley,Stephen Hunt,83,
2,Wolverhampton Wanderers,Fulham,Michael Kightly,Matthew Jarvis,89,
2,Wolverhampton Wanderers,Fulham,George Elokobi,Steven Fletcher,90,2
3,Aston Villa,Wolverhampton Wanderers,Kevin Foley,Matthew Jarvis,66,
3,Aston Villa,Wolverhampton Wanderers,George Elokobi,Stephen Hunt,66,
3,Aston Villa,Wolverhampton Wanderers,Barry Bannan,Charles N'Zogbia,74,
3,Aston Villa,Wolverhampton Wanderers,Marc Albrighton,Fabian Delph,84,
3,Aston Villa,Wolverhampton Wanderers,Sam Vokes,Steven Fletcher,89,
3,Blackburn Rovers,Everton,Mauro Formica,David Dunn,34,
3,Blackburn Rovers,Everton,Radosav Petrović,Morten Gamst Pedersen,34,
3,Blackburn Rovers,Everton,Tim Cahill,Ross Barkley,53,
3,Blackburn Rovers,Everton,Diniyar Bilyaletdinov,Leon Osman,62,
3,Blackburn Rovers,Everton,David Goodwillie,Jason Roberts,72,
3,Blackburn Rovers,Everton,Jermaine Beckford,Johnny Heitinga,85,
3,Chelsea,Norwich City,Anthony Pilkington,Zak Whitbread,30,
3,Chelsea,Norwich City,Steve Morison,Wes Hoolahan,60,
3,Chelsea,Norwich City,Nicolas Anelka,Didier Drogba,67,
3,Chelsea,Norwich City,Juan Mata,Florent Malouda,67,
3,Chelsea,Norwich City,Declan Rudd,Chris Martin,81,
3,Chelsea,Norwich City,Romelu Lukaku,Fernando Torres,83,
3,Liverpool,Bolton Wanderers,Mark Davies,Fabrice Muamba,26,
3,Liverpool,Bolton Wanderers,Martin Škrtel,Martin Kelly,30,
3,Liverpool,Bolton Wanderers,Tuncay,Chris Eagles,56,
3,Liverpool,Bolton Wanderers,Darren Pratley,Kevin Davies,71,
3,Liverpool,Bolton Wanderers,Maxi Rodríguez,Jordan Henderson,76,
3,Liverpool,Bolton Wanderers,Andy Carroll,Luis Suárez,76,
3,Manchester United,Arsenal,Javier Hernández,Danny Welbeck,35,
3,Manchester United,Arsenal,Alex Oxlade-Chamberlain,Francis Coquelin,62,
3,Manchester United,Arsenal,Ryan Giggs,Anderson,68,
3,Manchester United,Arsenal,Park Ji-Sung,Nani,68,
3,Manchester United,Arsenal,Marouane Chamakh,Robin van Persie,83,
3,Manchester United,Arsenal,Henri Lansbury,Theo Walcott,83,
3,Newcastle United,Fulham,Demba Ba,Peter Løvenkrands,62,
3,Newcastle United,Fulham,Andrew Johnson,Pajtim Kasami,73,
3,Newcastle United,Fulham,Haris Vučkić,Leon Best,78,
3,Newcastle United,Fulham,Alan Smith,Haris Vučkić,85,
3,Swansea City,Sunderland,Connor Wickham,Lee Cattermole,70,
3,Swansea City,Sunderland,Ahmed Elmohamady,Sebastian Larsson,70,
3,Swansea City,Sunderland,Leroy Lita,Wayne Routledge,71,
3,Swansea City,Sunderland,Joe Allen,Kemy Agustien,79,
3,Swansea City,Sunderland,Stephen Dobbie,Nathan Dyer,79,
3,Swansea City,Sunderland,Kieran Richardson,Asamoah Gyan,83,
3,Tottenham Hotspur,Manchester City,Tom Huddlestone,Niko Kranjčar,46,
3,Tottenham Hotspur,Manchester City,Jermain Defoe,Aaron Lennon,53,
3,Tottenham Hotspur,Manchester City,Micah Richards,Pablo Zabaleta,64,
3,Tottenham Hotspur,Manchester City,Jake Livermore,Luka Modrić,66,
3,Tottenham Hotspur,Manchester City,Stefan Savić,Sergio Agüero,75,
3,West Bromwich Albion,Stoke City,Andy Wilkinson,Marc Wilson,37,
3,West Bromwich Albion,Stoke City,Jerome Thomas,Chris Brunt,66,
3,West Bromwich Albion,Stoke City,Danny Pugh,Matthew Etherington,67,
3,West Bromwich Albion,Stoke City,Ryan Shotton,Jermaine Pennant,75,
3,West Bromwich Albion,Stoke City,Marc-Antoine Fortuné,Somen Tchoyi,77,
3,West Bromwich Albion,Stoke City,Graham Dorrans,James Morrison,80,
3,Wigan Athletic,Queens Park Rangers,Michael Harriman,Fitz Hall,61,
3,Wigan Athletic,Queens Park Rangers,Conor Sammon,Franco Di Santo,69,
3,Wigan Athletic,Queens Park Rangers,James McArthur,Victor Moses,69,
3,Wigan Athletic,Queens Park Rangers,Jay Bothroyd,Ákos Buzsáky,72,
3,Wigan Athletic,Queens Park Rangers,Bruno Andrade,Tommy Smith,80,
3,Wigan Athletic,Queens Park Rangers,Ronnie Stam,Jordi Gómez,85,
4,Arsenal,Swansea City,Yossi Benayoun,Andrey Arshavin,62,
4,Arsenal,Swansea City,Mark Gower,Kemy Agustien,64,
4,Arsenal,Swansea City,Francis Coquelin,Emmanuel Frimpong,74,
4,Arsenal,Swansea City,Stephen Dobbie,Joe Allen,75,
4,Arsenal,Swansea City,Marouane Chamakh,Robin van Persie,81,
4,Arsenal,Swansea City,Luke Moore,Nathan Dyer,84,
4,Bolton Wanderers,Manchester United,Michael Carrick,Tom Cleverley,24,
4,Bolton Wanderers,Manchester United,Ryan Giggs,Ashley Young,61,
4,Bolton Wanderers,Manchester United,Darren Pratley,Chris Eagles,61,
4,Bolton Wanderers,Manchester United,Chris Smalling,Jonny Evans,61,
4,Bolton Wanderers,Manchester United,David Ngog,Kevin Davies,65,
4,Bolton Wanderers,Manchester United,Tuncay,Ivan Klasnić,75,
4,Everton,Aston Villa,Barry Bannan,Emile Heskey,17,
4,Everton,Aston Villa,Marc Albrighton,Charles N'Zogbia,72,
4,Everton,Aston Villa,Royston Drenthe,Diniyar Bilyaletdinov,72,
4,Everton,Aston Villa,Stephen Ireland,Fabian Delph,80,
4,Everton,Aston Villa,Ross Barkley,Séamus Coleman,81,
4,Everton,Aston Villa,Apostolos Vellios,Tim Cahill,85,
4,Fulham,Blackburn Rovers,Stephen Kelly,Aaron Hughes,20,
4,Fulham,Blackburn Rovers,Moussa Dembélé,Bryan Ruiz,46,
4,Fulham,Blackburn Rovers,Martin Olsson,Christopher Samba,46,
4,Fulham,Blackburn Rovers,Radosav Petrović,David Dunn,52,
4,Fulham,Blackburn Rovers,Jason Lowe,Rubén Rochina,70,
4,Fulham,Blackburn Rovers,Andrew Johnson,John Arne Riise,79,
4,Fulham,Blackburn Rovers,,Junior Hoilett,90,3
4,Manchester City,Wigan Athletic,Ronnie Stam,Emmerson Boyce,59,
4,Manchester City,Wigan Athletic,Samir Nasri,Carlos Tevez,60,
4,Manchester City,Wigan Athletic,Albert Crusat,Ben Watson,69,
4,Manchester City,Wigan Athletic,Jordi Gómez,Franco Di Santo,69,
4,Manchester City,Wigan Athletic,Mario Balotelli,Sergio Agüero,71,
4,Manchester City,Wigan Athletic,Abdul Razak,Yaya Touré,79,
4,Norwich City,West Bromwich Albion,Wes Hoolahan,Andrew Surman,62,
4,Norwich City,West Bromwich Albion,James Morrison,Graham Dorrans,69,
4,Norwich City,West Bromwich Albion,Steve Morison,Grant Holt,70,
4,Norwich City,West Bromwich Albion,James Vaughan,Chris Martin,70,
4,Norwich City,West Bromwich Albion,Chris Brunt,Jerome Thomas,84,
4,Norwich City,West Bromwich Albion,Somen Tchoyi,Shane Long,88,
