Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
1,Sarmiento,Arsenal,30.0,22
1,Godoy Cruz,Huracán,16.0,31
1,Gimnasia y Esgrima (LP),Vélez Sarsfield,,
1,Rosario Central,Defensa y Justicia,,
1,Racing Club,Talleres (C),,
1,Atlético Tucumán,Atlético de Rafaela,,
1,San Lorenzo,San Martín (SJ),,
1,Tigre,Estudiantes (LP),,
1,Quilmes,Newell's Old Boys,,
1,Belgrano,Independiente,,
1,Unión,Olimpo,,
1,River Plate,Banfield,,
1,Lanús,Boca Juniors,,
1,Aldosivi,Colón,,
1,Temperley,Patronato,,
2,Patronato,Gimnasia y Esgrima (LP),,
2,Huracán,Quilmes,,
2,Olimpo,Lanús,,
2,Banfield,Colón,,
2,San Martín (SJ),Racing Club,,
2,Unión,Aldosivi,,
2,Defensa y Justicia,San Lorenzo,,
2,Independiente,Godoy Cruz,,
2,Newell's Old Boys,Tigre,,
2,Vélez Sarsfield,Rosario Central,,
2,Estudiantes (LP),Sarmiento,,
2,Boca Juniors,Belgrano,,
2,Talleres (C),River Plate,,
2,Arsenal,Atlético Tucumán,,
2,Atlético de Rafaela,Temperley,,
3,Colón,Talleres (C),,
3,Lanús,Unión,,
3,San Lorenzo,Vélez Sarsfield,,
3,Rosario Central,Patronato,,
3,Aldosivi,Banfield,,
3,Quilmes,Independiente,,
3,Sarmiento,Newell's Old Boys,,
3,Atlético Tucumán,Estudiantes (LP),,
3,Temperley,Arsenal,,
3,Godoy Cruz,Boca Juniors,,
3,Belgrano,Olimpo,,
3,River Plate,San Martín (SJ),,
3,Racing Club,Defensa y Justicia,,
3,Tigre,Huracán,,
3,Gimnasia y Esgrima (LP),Atlético de Rafaela,,
4,Olimpo,Godoy Cruz,,
4,Newell's Old Boys,Atlético Tucumán,,
4,Atlético de Rafaela,Rosario Central,,
4,Vélez Sarsfield,Racing Club,,
4,Independiente,Tigre,,
4,Huracán,Sarmiento,,
4,Estudiantes (LP),Temperley,,
4,Unión,Belgrano,,
4,Talleres (C),Banfield,,
4,Patronato,San Lorenzo,,
4,Lanús,Aldosivi,,
4,Boca Juniors,Quilmes,,
4,Defensa y Justicia,River Plate,,
4,Arsenal,Gimnasia y Esgrima (LP),,
4,San Martín (SJ),Colón,,
5,Quilmes,Olimpo,,
5,Godoy Cruz,Unión,,
5,Rosario Central,Arsenal,,
5,Aldosivi,Talleres (C),,
5,Temperley,Newell's Old Boys,,
5,Racing Club,Patronato,,
5,River Plate,Vélez Sarsfield,,
5,San Lorenzo,Atlético de Rafaela,,
5,Belgrano,Lanús,,
5,Gimnasia y Esgrima (LP),Estudiantes (LP),,
5,Banfield,San Martín (SJ),,
5,Sarmiento,Independiente,,
5,Colón,Defensa y Justicia,,
5,Tigre,Boca Juniors,,
5,Atlético Tucumán,Huracán,,
6,Local,Visitante,,
6,Belgrano,Aldosivi,,
6,Lanús,Godoy Cruz,,
6,Unión,Quilmes,,
6,Olimpo,Tigre,,
6,Boca Juniors,Sarmiento,,
6,Independiente,Atlético Tucumán,,
6,Huracán,Temperley,,
6,Newell's Old Boys,Gimnasia y Esgrima (LP),,
6,Estudiantes (LP),Rosario Central,,
6,Arsenal,San Lorenzo,,
6,Atlético de Rafaela,Racing Club,,
6,Patronato,River Plate,,
6,Vélez Sarsfield,Colón,,
6,Defensa y Justicia,Banfield,,
6,San Martín (SJ),Talleres (C),,
7,Aldosivi,San Martín (SJ),,
7,Talleres (C),Defensa y Justicia,,
7,Banfield,Vélez Sarsfield,,
7,Colón,Patronato,,
7,River Plate,Atlético de Rafaela,,
7,Racing Club,Arsenal,,
7,San Lorenzo,Estudiantes (LP),,
7,Rosario Central,Newell's Old Boys,,
7,Gimnasia y Esgrima (LP),Huracán,,
7,Temperley,Independiente,,
7,Atlético Tucumán,Boca Juniors,,
7,Sarmiento,Olimpo,,
7,Tigre,Unión,,
7,Quilmes,Lanús,,
7,Godoy Cruz,Belgrano,,
8,Godoy Cruz,Aldosivi,,
8,Belgrano,Quilmes,,
8,Lanús,Tigre,,
8,Unión,Sarmiento,,
8,Olimpo,Atlético Tucumán,,
8,Boca Juniors,Temperley,,
8,Independiente,Gimnasia y Esgrima (LP),,
8,Huracán,Rosario Central,,
8,Newell's Old Boys,San Lorenzo,,
8,Estudiantes (LP),Racing Club,,
8,Arsenal,River Plate,,
8,Atlético de Rafaela,Colón,,
8,Patronato,Banfield,,
8,Vélez Sarsfield,Talleres (C),,
8,Defensa y Justicia,San Martín (SJ),,
9,Aldosivi,Defensa y Justicia,,
9,San Martín (SJ),Vélez Sarsfield,,
9,Talleres (C),Patronato,,
9,Banfield,Atlético de Rafaela,,
9,Colón,Arsenal,,
9,River Plate,Estudiantes (LP),,
9,Racing Club,Newell's Old Boys,,
9,San Lorenzo,Huracán,,
9,Rosario Central,Independiente,,
9,Gimnasia y Esgrima (LP),Boca Juniors,,
9,Temperley,Olimpo,,
9,Atlético Tucumán,Unión,,
9,Sarmiento,Lanús,,
9,Tigre,Belgrano,,
9,Quilmes,Godoy Cruz,,
10,Quilmes,Aldosivi,,
10,Godoy Cruz,Tigre,,
10,Belgrano,Sarmiento,,
10,Lanús,Atlético Tucumán,,
10,Unión,Temperley,,
10,Olimpo,Gimnasia y Esgrima (LP),,
10,Boca Juniors,Rosario Central,,
10,Independiente,San Lorenzo,,
10,Huracán,Racing Club,,
10,Newell's Old Boys,River Plate,,
10,Estudiantes (LP),Colón,,
10,Arsenal,Banfield,,
10,Atlético de Rafaela,Talleres (C),,
10,Patronato,San Martín (SJ),,
10,Vélez Sarsfield,Defensa y Justicia,,
11,Aldosivi,Vélez Sarsfield,,
11,Defensa y Justicia,Patronato,,
11,San Martín (SJ),Atlético de Rafaela,,
11,Talleres (C),Arsenal,,
11,Banfield,Estudiantes (LP),,
11,Colón,Newell's Old Boys,,
11,River Plate,Huracán,,
11,Racing Club,Independiente,,
11,San Lorenzo,Boca Juniors,,
11,Rosario Central,Olimpo,,
11,Gimnasia y Esgrima (LP),Unión,,
11,Temperley,Lanús,,
11,Atlético Tucumán,Belgrano,,
11,Sarmiento,Godoy Cruz,,
11,Tigre,Quilmes,,
12,Tigre,Aldosivi,,
12,Quilmes,Sarmiento,,
12,Godoy Cruz,Atlético Tucumán,,
12,Belgrano,Temperley,,
12,Lanús,Gimnasia y Esgrima (LP),,
12,Unión,Rosario Central,,
12,Olimpo,San Lorenzo,,
12,Boca Juniors,Racing Club,,
12,Independiente,River Plate,,
12,Huracán,Colón,,
12,Newell's Old Boys,Banfield,,
12,Estudiantes (LP),Talleres (C),,
12,Arsenal,San Martín (SJ),,
12,Atlético de Rafaela,Defensa y Justicia,,
12,Patronato,Vélez Sarsfield,,
13,Aldosivi,Patronato,,
13,Vélez Sarsfield,Atlético de Rafaela,,
13,Defensa y Justicia,Arsenal,,
13,San Martín (SJ),Estudiantes (LP),,
13,Talleres (C),Newell's Old Boys,,
13,Banfield,Huracán,,
13,Colón,Independiente,,
13,River Plate,Boca Juniors,,
13,Racing Club,Olimpo,,
13,San Lorenzo,Unión,,
13,Rosario Central,Lanús,,
