Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
1,Arsenal,Liverpool,,
1,Bournemouth,Manchester United,,
1,Burnley,Swansea City,,
1,Chelsea,West Ham,,
1,Crystal Palace,West Bromwich Albion,,
1,Everton,Tottenham,,
1,Hull City,Leicester City,,
1,Manchester City,Sunderland,,
1,Middlesbrough,Stoke City,,
1,Southampton,Watford,,
2,Leicester City,Arsenal,,
2,Liverpool,Burnley,,
2,Manchester United,Southampton,,
2,Stoke City,Manchester City,,
2,Sunderland,Middlesbrough,,
2,Swansea City,Hull City,,
2,Tottenham,Crystal Palace,,
2,Watford,Chelsea,,
2,West Bromwich Albion,Everton,,
2,West Ham,Bournemouth,,
3,Chelsea,Burnley,,
3,Crystal Palace,Bournemouth,,
3,Everton,Stoke City,,
3,Hull City,Manchester United,,
3,Leicester City,Swansea City,,
3,Manchester City,West Ham,,
3,Southampton,Sunderland,,
3,Tottenham,Liverpool,,
3,Watford,Arsenal,,
3,West Bromwich Albion,Middlesbrough,,
4,Arsenal,Southampton,,
4,Bournemouth,West Bromwich Albion,,
4,Burnley,Hull City,,
4,Liverpool,Leicester City,,
4,Manchester United,Manchester City,,
4,Middlesbrough,Crystal Palace,,
4,Stoke City,Tottenham,,
4,Sunderland,Everton,,
4,Swansea City,Chelsea,,
4,West Ham,Watford,,
5,Chelsea,Liverpool,,
5,Crystal Palace,Stoke City,,
5,Everton,Middlesbrough,,
5,Hull City,Arsenal,,
5,Leicester City,Burnley,,
5,Manchester City,Bournemouth,,
5,Southampton,Swansea City,,
5,Tottenham,Sunderland,,
5,Watford,Manchester United,,
5,West Bromwich Albion,West Ham,,
6,Arsenal,Chelsea,,
6,Bournemouth,Everton,,
6,Burnley,Watford,,
6,Liverpool,Hull City,,
6,Manchester United,Leicester City,,
6,Middlesbrough,Tottenham,,
6,Stoke City,West Bromwich Albion,,
6,Sunderland,Crystal Palace,,
6,Swansea City,Manchester City,,
6,West Ham,Southampton,,
7,Burnley,Arsenal,,
7,Everton,Crystal Palace,,
7,Hull City,Chelsea,,
7,Leicester City,Southampton,,
7,Manchester United,Stoke City,,
7,Sunderland,West Bromwich Albion,,
7,Swansea City,Liverpool,,
7,Tottenham,Manchester City,,
7,Watford,Bournemouth,,
7,West Ham,Middlesbrough,,
8,Arsenal,Swansea City,,
8,Bournemouth,Hull City,,
8,Chelsea,Leicester City,,
8,Crystal Palace,West Ham,,
8,Liverpool,Manchester United,,
8,Manchester City,Everton,,
8,Middlesbrough,Watford,,
8,Southampton,Burnley,,
8,Stoke City,Sunderland,,
8,West Bromwich Albion,Tottenham,,
9,Arsenal,Middlesbrough,,
9,Bournemouth,Tottenham,,
9,Burnley,Everton,,
9,Chelsea,Manchester United,,
9,Hull City,Stoke City,,
9,Leicester City,Crystal Palace,,
9,Liverpool,West Bromwich Albion,,
9,Manchester City,Southampton,,
9,Swansea City,Watford,,
9,West Ham,Sunderland,,
10,Crystal Palace,Liverpool,,
10,Everton,West Ham,,
10,Manchester United,Burnley,,
10,Middlesbrough,Bournemouth,,
10,Southampton,Chelsea,,
10,Stoke City,Swansea City,,
10,Sunderland,Arsenal,,
10,Tottenham,Leicester City,,
10,Watford,Hull City,,
10,West Bromwich Albion,Manchester City,,
11,Arsenal,Tottenham,,
11,Bournemouth,Sunderland,,
11,Burnley,Crystal Palace,,
11,Chelsea,Everton,,
11,Hull City,Southampton,,
11,Leicester City,West Bromwich Albion,,
11,Liverpool,Watford,,
11,Manchester City,Middlesbrough,,
11,Swansea City,Manchester United,,
11,West Ham,Stoke City,,
12,Crystal Palace,Manchester City,,
12,Everton,Swansea City,,
12,Manchester United,Arsenal,,
12,Middlesbrough,Chelsea,,
12,Southampton,Liverpool,,
12,Stoke City,Bournemouth,,
12,Sunderland,Hull City,,
12,Tottenham,West Ham,,
12,Watford,Leicester City,,
12,West Bromwich Albion,Burnley,,
13,Arsenal,Bournemouth,,
13,Burnley,Manchester City,,
13,Chelsea,Tottenham,,
13,Hull City,West Bromwich Albion,,
13,Leicester City,Middlesbrough,,
13,Liverpool,Sunderland,,
13,Manchester United,West Ham,,
13,Southampton,Everton,,
