matchday,home,away
1,Toulouse FC,AS Monaco
1,OGC Nice,Olympique Lyonnais
1,AS Nancy Lorraine,Paris Saint-Germain
1,SC Bastia,Angers SCO
1,EA Guingamp,LOSC
1,FC Lorient,FC Nantes
1,Montpellier Hérault SC,SM Caen
1,Stade Rennais FC,Girondins de Bordeaux
1,AS Saint-Etienne,Dijon FCO
1,Olympique de Marseille,FC Metz
2,Toulouse FC,AS Monaco
2,OGC Nice,Olympique Lyonnais
2,AS Nancy Lorraine,Paris Saint-Germain
2,SC Bastia,Angers SCO
2,EA Guingamp,LOSC
2,FC Lorient,FC Nantes
2,Montpellier Hérault SC,SM Caen
2,Stade Rennais FC,Girondins de Bordeaux
2,AS Saint-Etienne,Dijon FCO
2,Olympique de Marseille,FC Metz
3,Toulouse FC,AS Monaco
3,OGC Nice,Olympique Lyonnais
3,AS Nancy Lorraine,Paris Saint-Germain
3,SC Bastia,Angers SCO
3,EA Guingamp,LOSC
3,FC Lorient,FC Nantes
3,Montpellier Hérault SC,SM Caen
3,Stade Rennais FC,Girondins de Bordeaux
3,AS Saint-Etienne,Dijon FCO
3,Olympique de Marseille,FC Metz
4,Toulouse FC,AS Monaco
4,OGC Nice,Olympique Lyonnais
4,AS Nancy Lorraine,Paris Saint-Germain
4,SC Bastia,Angers SCO
4,EA Guingamp,LOSC
4,FC Lorient,FC Nantes
4,Montpellier Hérault SC,SM Caen
4,Stade Rennais FC,Girondins de Bordeaux
4,AS Saint-Etienne,Dijon FCO
4,Olympique de Marseille,FC Metz
5,Toulouse FC,AS Monaco
5,OGC Nice,Olympique Lyonnais
5,AS Nancy Lorraine,Paris Saint-Germain
5,SC Bastia,Angers SCO
5,EA Guingamp,LOSC
5,FC Lorient,FC Nantes
5,Montpellier Hérault SC,SM Caen
5,Stade Rennais FC,Girondins de Bordeaux
5,AS Saint-Etienne,Dijon FCO
5,Olympique de Marseille,FC Metz
6,Toulouse FC,AS Monaco
6,OGC Nice,Olympique Lyonnais
6,AS Nancy Lorraine,Paris Saint-Germain
6,SC Bastia,Angers SCO
6,EA Guingamp,LOSC
6,FC Lorient,FC Nantes
6,Montpellier Hérault SC,SM Caen
6,Stade Rennais FC,Girondins de Bordeaux
6,AS Saint-Etienne,Dijon FCO
6,Olympique de Marseille,FC Metz
7,Toulouse FC,AS Monaco
