Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
1,Roma,Udinese,,
1,Juventus,Fiorentina,,
1,Milan,Torino,,
1,Atalanta,Lazio,,
1,Bologna,Crotone,,
1,Chievo Verona,Inter,,
1,Empoli,Sampdoria,,
1,Genoa,Cagliari,,
1,Palermo,Sassuolo,,
1,Pescara,Napoli,,
2,Lazio,Juventus,,
2,Napoli,Milan,,
2,Inter,Palermo,,
2,Cagliari,Roma,,
2,Crotone,Genoa,,
2,Fiorentina,Chievo Verona,,
2,Sampdoria,Atalanta,,
2,Sassuolo,Pescara,,
2,Torino,Bologna,,
2,Udinese,Empoli,,
3,Juventus,Sassuolo,,
3,Palermo,Napoli,,
3,Bologna,Cagliari,,
3,Atalanta,Torino,,
3,Chievo Verona,Lazio,,
3,Milan,Udinese,,
3,Roma,Sampdoria,,
3,Pescara,Inter,,
3,Empoli,Crotone,,
3,Genoa,Fiorentina,,
4,Sampdoria,Milan,,
4,Lazio,Pescara,,
4,Napoli,Bologna,,
4,Udinese,Chievo Verona,,
4,Cagliari,Atalanta,,
4,Crotone,Palermo,,
4,Sassuolo,Genoa,,
4,Torino,Empoli,,
4,Inter,Juventus,,
4,Fiorentina,Roma,,
5,Milan,Lazio,,
5,Bologna,Sampdoria,,
5,Atalanta,Palermo,,
5,Chievo Verona,Sassuolo,,
5,Empoli,Inter,,
5,Genoa,Napoli,,
5,Juventus,Cagliari,,
5,Pescara,Torino,,
5,Roma,Crotone,,
5,Udinese,Fiorentina,,
6,Palermo,Juventus,,
6,Napoli,Chievo Verona,,
6,Torino,Roma,,
6,Genoa,Pescara,,
6,Inter,Bologna,,
6,Lazio,Empoli,,
6,Sassuolo,Udinese,,
6,Fiorentina,Milan,,
6,Crotone,Atalanta,,
6,Cagliari,Sampdoria,,
7,Pescara,Chievo Verona,,
7,Udinese,Lazio,,
7,Empoli,Juventus,,
7,Atalanta,Napoli,,
7,Bologna,Genoa,,
7,Cagliari,Crotone,,
7,Sampdoria,Palermo,,
7,Milan,Sassuolo,,
7,Torino,Fiorentina,,
7,Roma,Inter,,
8,Napoli,Roma,,
8,Pescara,Sampdoria,,
8,Juventus,Udinese,,
8,Fiorentina,Atalanta,,
8,Genoa,Empoli,,
8,Inter,Cagliari,,
8,Lazio,Bologna,,
8,Sassuolo,Crotone,,
8,Chievo Verona,Milan,,
8,Palermo,Torino,,
9,Sampdoria,Genoa,,
9,Milan,Juventus,,
9,Udinese,Pescara,,
9,Atalanta,Inter,,
9,Cagliari,Fiorentina,,
9,Crotone,Napoli,,
9,Empoli,Chievo Verona,,
9,Torino,Lazio,,
9,Bologna,Sassuolo,,
9,Roma,Palermo,,
10,Genoa,Milan,,
10,Chievo Verona,Bologna,,
10,Fiorentina,Crotone,,
10,Inter,Torino,,
10,Juventus,Sampdoria,,
10,Lazio,Cagliari,,
10,Napoli,Empoli,,
10,Pescara,Atalanta,,
10,Sassuolo,Roma,,
10,Palermo,Udinese,,
11,Bologna,Fiorentina,,
11,Juventus,Napoli,,
11,Atalanta,Genoa,,
11,Crotone,Chievo Verona,,
11,Empoli,Roma,,
11,Lazio,Sassuolo,,
11,Milan,Pescara,,
11,Sampdoria,Inter,,
11,Udinese,Torino,,
11,Cagliari,Palermo,,
12,Torino,Cagliari,,
12,Napoli,Lazio,,
12,Pescara,Empoli,,
12,Chievo Verona,Juventus,,
12,Genoa,Udinese,,
12,Palermo,Milan,,
12,Sassuolo,Atalanta,,
12,Fiorentina,Sampdoria,,
12,Inter,Crotone,,
12,Roma,Bologna,,
13,Chievo Verona,Cagliari,,
13,Udinese,Napoli,,
13,Juventus,Pescara,,
13,Sampdoria,Sassuolo,,
13,Atalanta,Roma,,
13,Bologna,Palermo,,
13,Crotone,Torino,,
13,Empoli,Fiorentina,,
13,Lazio,Genoa,,
13,Milan,Inter,,
14,Torino,Chievo Verona,,
14,Empoli,Milan,,
14,Palermo,Lazio,,
14,Bologna,Atalanta,,
14,Cagliari,Udinese,,
14,Crotone,Sampdoria,,
14,Genoa,Juventus,,
14,Roma,Pescara,,
14,Napoli,Sassuolo,,
14,Inter,Fiorentina,,
15,Napoli,Inter,,
15,Juventus,Atalanta,,
15,Milan,Crotone,,
15,Lazio,Roma,,
15,Pescara,Cagliari,,
15,Sampdoria,Torino,,
15,Sassuolo,Empoli,,
15,Fiorentina,Palermo,,
15,Chievo Verona,Genoa,,
15,Udinese,Bologna,,
16,Crotone,Pescara,,
16,Sampdoria,Lazio,,
16,Cagliari,Napoli,,
16,Atalanta,Udinese,,
16,Bologna,Empoli,,
16,Palermo,Chievo Verona,,
16,Torino,Juventus,,
16,Inter,Genoa,,
16,Fiorentina,Sassuolo,,
16,Roma,Milan,,
17,Empoli,Cagliari,,
17,Milan,Atalanta,,
17,Juventus,Roma,,
17,Sassuolo,Inter,,
17,Chievo Verona,Sampdoria,,
17,Napoli,Torino,,
17,Pescara,Bologna,,
17,Udinese,Crotone,,
17,Genoa,Palermo,,
17,Lazio,Fiorentina,,
18,Atalanta,Empoli,,
18,Inter,Lazio,,
18,Bologna,Milan,,
18,Cagliari,Sassuolo,,
18,Crotone,Juventus,,
18,Fiorentina,Napoli,,
18,Palermo,Pescara,,
18,Roma,Chievo Verona,,
18,Sampdoria,Udinese,,
18,Torino,Genoa,,
19,Chievo Verona,Atalanta,,
19,Empoli,Palermo,,
19,Genoa,Roma,,
19,Juventus,Bologna,,
19,Lazio,Crotone,,
19,Milan,Cagliari,,
19,Napoli,Sampdoria,,
19,Pescara,Fiorentina,,
19,Sassuolo,Torino,,
19,Udinese,Inter,,
20,Cagliari,Genoa,,
20,Crotone,Bologna,,
20,Fiorentina,Juventus,,
20,Inter,Chievo Verona,,
20,Lazio,Atalanta,,
20,Napoli,Pescara,,
20,Sampdoria,Empoli,,
20,Sassuolo,Palermo,,
20,Torino,Milan,,
20,Udinese,Roma,,
21,Atalanta,Sampdoria,,
21,Bologna,Torino,,
21,Chievo Verona,Fiorentina,,
21,Empoli,Udinese,,
21,Genoa,Crotone,,
21,Juventus,Lazio,,
21,Milan,Napoli,,
21,Palermo,Inter,,
21,Pescara,Sassuolo,,
21,Roma,Cagliari,,
22,Cagliari,Bologna,,
22,Crotone,Empoli,,
22,Fiorentina,Genoa,,
22,Inter,Pescara,,
22,Lazio,Chievo Verona,,
22,Napoli,Palermo,,
22,Sampdoria,Roma,,
22,Sassuolo,Juventus,,
22,Torino,Atalanta,,
22,Udinese,Milan,,
23,Atalanta,Cagliari,,
23,Bologna,Napoli,,
23,Chievo Verona,Udinese,,
23,Empoli,Torino,,
23,Genoa,Sassuolo,,
23,Juventus,Inter,,
23,Milan,Sampdoria,,
23,Palermo,Crotone,,
23,Pescara,Lazio,,
23,Roma,Fiorentina,,
24,Cagliari,Juventus,,
24,Crotone,Roma,,
24,Fiorentina,Udinese,,
24,Inter,Empoli,,
24,Lazio,Milan,,
24,Napoli,Genoa,,
24,Palermo,Atalanta,,
24,Sampdoria,Bologna,,
24,Sassuolo,Chievo Verona,,
24,Torino,Pescara,,
25,Atalanta,Crotone,,
25,Bologna,Inter,,
25,Chievo Verona,Napoli,,
25,Empoli,Lazio,,
25,Juventus,Palermo,,
25,Milan,Fiorentina,,
25,Pescara,Genoa,,
25,Roma,Torino,,
25,Sampdoria,Cagliari,,
25,Udinese,Sassuolo,,
26,Chievo Verona,Pescara,,
26,Crotone,Cagliari,,
26,Fiorentina,Torino,,
26,Genoa,Bologna,,
26,Inter,Roma,,
26,Juventus,Empoli,,
26,Lazio,Udinese,,
26,Napoli,Atalanta,,
26,Palermo,Sampdoria,,
26,Sassuolo,Milan,,
27,Atalanta,Fiorentina,,
27,Bologna,Lazio,,
27,Cagliari,Inter,,
27,Crotone,Sassuolo,,
27,Empoli,Genoa,,
27,Milan,Chievo Verona,,
27,Roma,Napoli,,
27,Sampdoria,Pescara,,
27,Torino,Palermo,,
27,Udinese,Juventus,,
28,Chievo Verona,Empoli,,
28,Fiorentina,Cagliari,,
28,Genoa,Sampdoria,,
28,Inter,Atalanta,,
28,Juventus,Milan,,
28,Lazio,Torino,,
28,Napoli,Crotone,,
28,Palermo,Roma,,
28,Pescara,Udinese,,
28,Sassuolo,Bologna,,
29,Atalanta,Pescara,,
29,Bologna,Chievo Verona,,
29,Cagliari,Lazio,,
29,Crotone,Fiorentina,,
29,Empoli,Napoli,,
29,Milan,Genoa,,
29,Roma,Sassuolo,,
29,Sampdoria,Juventus,,
29,Torino,Inter,,
29,Udinese,Palermo,,
30,Chievo Verona,Crotone,,
30,Fiorentina,Bologna,,
30,Genoa,Atalanta,,
30,Inter,Sampdoria,,
30,Napoli,Juventus,,
30,Palermo,Cagliari,,
30,Pescara,Milan,,
30,Roma,Empoli,,
30,Sassuolo,Lazio,,
30,Torino,Udinese,,
31,Atalanta,Sassuolo,,
31,Bologna,Roma,,
31,Cagliari,Torino,,
31,Crotone,Inter,,
31,Empoli,Pescara,,
31,Juventus,Chievo Verona,,
31,Lazio,Napoli,,
31,Milan,Palermo,,
31,Sampdoria,Fiorentina,,
31,Udinese,Genoa,,
32,Cagliari,Chievo Verona,,
32,Fiorentina,Empoli,,
32,Genoa,Lazio,,
32,Inter,Milan,,
32,Napoli,Udinese,,
32,Palermo,Bologna,,
32,Pescara,Juventus,,
32,Roma,Atalanta,,
32,Sassuolo,Sampdoria,,
32,Torino,Crotone,,
33,Atalanta,Bologna,,
33,Chievo Verona,Torino,,
33,Fiorentina,Inter,,
33,Juventus,Genoa,,
33,Lazio,Palermo,,
33,Milan,Empoli,,
33,Pescara,Roma,,
33,Sampdoria,Crotone,,
33,Sassuolo,Napoli,,
33,Udinese,Cagliari,,
34,Atalanta,Juventus,,
34,Bologna,Udinese,,
34,Cagliari,Pescara,,
34,Crotone,Milan,,
34,Empoli,Sassuolo,,
34,Genoa,Chievo Verona,,
34,Inter,Napoli,,
34,Palermo,Fiorentina,,
34,Roma,Lazio,,
34,Torino,Sampdoria,,
35,Chievo Verona,Palermo,,
35,Empoli,Bologna,,
35,Genoa,Inter,,
35,Juventus,Torino,,
35,Lazio,Sampdoria,,
35,Milan,Roma,,
35,Napoli,Cagliari,,
35,Pescara,Crotone,,
35,Sassuolo,Fiorentina,,
35,Udinese,Atalanta,,
36,Atalanta,Milan,,
36,Bologna,Pescara,,
36,Cagliari,Empoli,,
36,Crotone,Udinese,,
36,Fiorentina,Lazio,,
36,Inter,Sassuolo,,
36,Palermo,Genoa,,
36,Roma,Juventus,,
36,Sampdoria,Chievo Verona,,
36,Torino,Napoli,,
37,Chievo Verona,Roma,,
37,Empoli,Atalanta,,
37,Genoa,Torino,,
37,Juventus,Crotone,,
37,Lazio,Inter,,
37,Milan,Bologna,,
37,Napoli,Fiorentina,,
37,Pescara,Palermo,,
37,Sassuolo,Cagliari,,
37,Udinese,Sampdoria,,
38,Atalanta,Chievo Verona,,
38,Bologna,Juventus,,
38,Cagliari,Milan,,
38,Crotone,Lazio,,
38,Fiorentina,Pescara,,
38,Inter,Udinese,,
38,Palermo,Empoli,,
38,Roma,Genoa,,
38,Sampdoria,Napoli,,
38,Torino,Sassuolo,,
