Match Date,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
2016-03-06,New York Red Bulls,Toronto FC,,
2016-03-06,Orlando City SC,Real Salt Lake,,
2016-03-06,Chicago Fire,New York City FC,,
2016-03-06,FC Dallas,Philadelphia Union,,
2016-03-06,Houston Dynamo,New England Revolution,,
2016-03-06,San Jose Earthquakes,Colorado Rapids,,
2016-03-06,Portland Timbers,Columbus Crew SC,,
2016-03-06,Vancouver Whitecaps FC,Montreal Impact,,
2016-03-06,Seattle Sounders FC,Sporting Kansas City,,
2016-03-06,LA Galaxy,D.C. United,,
2016-03-11,Orlando City SC,Chicago Fire,,
2016-03-12,New England Revolution,D.C. United,,
2016-03-12,Real Salt Lake,Seattle Sounders FC,,
2016-03-12,Montreal Impact,New York Red Bulls,,
2016-03-12,Colorado Rapids,LA Galaxy,,
2016-03-12,Columbus Crew SC,Philadelphia Union,,
2016-03-12,Sporting Kansas City,Vancouver Whitecaps FC,,
2016-03-12,Houston Dynamo,FC Dallas,,
2016-03-13,New York City FC,Toronto FC,,
2016-03-13,San Jose Earthquakes,Portland Timbers,,
2016-03-18,New York City FC,Orlando City SC,,
2016-03-19,Chicago Fire,Columbus Crew SC,,
2016-03-19,New York Red Bulls,Houston Dynamo,,
2016-03-19,FC Dallas,Montreal Impact,,
2016-03-19,Seattle Sounders FC,Vancouver Whitecaps FC,,
2016-03-19,LA Galaxy,San Jose Earthquakes,,
2016-03-19,Portland Timbers,Real Salt Lake,,
2016-03-20,Philadelphia Union,New England Revolution,,
2016-03-20,D.C. United,Colorado Rapids,,
2016-03-20,Sporting Kansas City,Toronto FC,,
2016-03-26,New York City FC,New England Revolution,,
2016-03-26,D.C. United,FC Dallas,,
2016-03-26,Vancouver Whitecaps FC,Houston Dynamo,,
2016-04-01,New England Revolution,New York Red Bulls,,
2016-04-02,Chicago Fire,Philadelphia Union,,
2016-04-02,Colorado Rapids,Toronto FC,,
2016-04-02,Sporting Kansas City,Real Salt Lake,,
2016-04-02,FC Dallas,Columbus Crew SC,,
2016-04-02,Vancouver Whitecaps FC,LA Galaxy,,
2016-04-02,Seattle Sounders FC,Montreal Impact,,
2016-04-02,San Jose Earthquakes,D.C. United,,
2016-04-03,Orlando City SC,Portland Timbers,,
2016-04-08,Philadelphia Union,Orlando City SC,,
2016-04-09,Montreal Impact,Columbus Crew SC,,
2016-04-09,New England Revolution,Toronto FC,,
2016-04-09,D.C. United,Vancouver Whitecaps FC,,
2016-04-09,New York Red Bulls,Sporting Kansas City,,
2016-04-09,FC Dallas,San Jose Earthquakes,,
2016-04-09,Real Salt Lake,Colorado Rapids,,
2016-04-10,Houston Dynamo,Seattle Sounders FC,,
2016-04-10,New York City FC,Chicago Fire,,
2016-04-10,LA Galaxy,Portland Timbers,,
2016-04-13,Sporting Kansas City,Colorado Rapids,,
2016-04-13,San Jose Earthquakes,New York Red Bulls,,
2016-04-13,Portland Timbers,FC Dallas,,
2016-04-15,Houston Dynamo,LA Galaxy,,
2016-04-16,Chicago Fire,Montreal Impact,,
2016-04-16,D.C. United,Toronto FC,,
2016-04-16,Columbus Crew SC,New York City FC,,
2016-04-16,Colorado Rapids,New York Red Bulls,,
2016-04-16,Real Salt Lake,Vancouver Whitecaps FC,,
2016-04-16,Seattle Sounders FC,Philadelphia Union,,
2016-04-16,Portland Timbers,San Jose Earthquakes,,
2016-04-17,Orlando City SC,New England Revolution,,
2016-04-17,FC Dallas,Sporting Kansas City,,
2016-04-23,Philadelphia Union,New York City FC,,
2016-04-23,Montreal Impact,Toronto FC,,
2016-04-23,D.C. United,New England Revolution,,
2016-04-23,Columbus Crew SC,Houston Dynamo,,
2016-04-23,Colorado Rapids,Seattle Sounders FC,,
2016-04-23,LA Galaxy,Real Salt Lake,,
2016-04-23,Vancouver Whitecaps FC,FC Dallas,,
2016-04-24,San Jose Earthquakes,Sporting Kansas City,,
2016-04-24,New York Red Bulls,Orlando City SC,,
2016-04-27,New York City FC,Montreal Impact,,
2016-04-27,New England Revolution,Portland Timbers,,
2016-04-27,Vancouver Whitecaps FC,Sporting Kansas City,,
2016-04-29,New York Red Bulls,FC Dallas,,
2016-04-30,Philadelphia Union,San Jose Earthquakes,,
2016-04-30,Montreal Impact,Colorado Rapids,,
2016-04-30,Seattle Sounders FC,Columbus Crew SC,,
2016-04-30,New York City FC,Vancouver Whitecaps FC,,
2016-04-30,Chicago Fire,D.C. United,,
2016-04-30,New England Revolution,Orlando City SC,,
2016-04-30,Real Salt Lake,Houston Dynamo,,
2016-05-01,Portland Timbers,Toronto FC,,
2016-05-01,Sporting Kansas City,LA Galaxy,,
2016-05-06,Orlando City SC,New York Red Bulls,,
2016-05-07,Vancouver Whitecaps FC,Portland Timbers,,
2016-05-07,Toronto FC,FC Dallas,,
2016-05-07,Columbus Crew SC,Montreal Impact,,
2016-05-07,Houston Dynamo,Sporting Kansas City,,
2016-05-07,Colorado Rapids,Real Salt Lake,,
2016-05-07,Seattle Sounders FC,San Jose Earthquakes,,
2016-05-08,LA Galaxy,New England Revolution,,
2016-05-08,D.C. United,New York City FC,,
2016-05-11,Philadelphia Union,LA Galaxy,,
2016-05-11,FC Dallas,Portland Timbers,,
2016-05-11,Colorado Rapids,Sporting Kansas City,,
2016-05-11,Vancouver Whitecaps FC,Chicago Fire,,
2016-05-11,San Jose Earthquakes,Houston Dynamo,,
2016-05-13,D.C. United,New York Red Bulls,,
2016-05-14,Montreal Impact,Philadelphia Union,,
2016-05-14,Columbus Crew SC,Colorado Rapids,,
2016-05-14,Toronto FC,Vancouver Whitecaps FC,,
2016-05-14,New England Revolution,Chicago Fire,,
2016-05-14,FC Dallas,Seattle Sounders FC,,
2016-05-15,Houston Dynamo,Real Salt Lake,,
2016-05-15,Sporting Kansas City,Orlando City SC,,
2016-05-15,Portland Timbers,New York City FC,,
2016-05-18,Toronto FC,New York City FC,,
2016-05-18,New York Red Bulls,Chicago Fire,,
2016-05-20,Philadelphia Union,D.C. United,,
