Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
1,Atlético de Madrid,Alavés,,
1,Barcelona,Real Betis,,
1,Celta de Vigo,Leganés,,
1,Deportivo La Coruña,Eibar,,
1,Granada ,Villarreal,,
1,Málaga,Osasuna,,
1,Real Sociedad,Real Madrid,,
1,Sevilla,Espanyol,,
1,Sporting de Gijón,Athletic Bilbao,,
1,Valencia,Las Palmas,,
2,Alavés,Sporting de Gijón,,
2,Athletic Bilbao,Barcelona,,
2,Eibar,Valencia,,
2,Espanyol,Málaga,,
2,Las Palmas,Granada ,,
2,Leganés,Atlético de Madrid,,
2,Osasuna,Real Sociedad,,
2,Real Betis,Deportivo La Coruña,,
2,Real Madrid,Celta de Vigo,,
2,Villarreal,Sevilla,,
3,Barcelona,Alavés,,
3,Celta de Vigo,Atlético de Madrid,,
3,Deportivo La Coruña,Athletic Bilbao,,
3,Granada ,Eibar,,
3,Málaga,Villarreal,,
3,Real Madrid,Osasuna,,
3,Real Sociedad,Espanyol,,
3,Sevilla,Las Palmas,,
3,Sporting de Gijón,Leganés,,
3,Valencia,Real Betis,,
4,Alavés,Deportivo La Coruña,,
4,Athletic Bilbao,Valencia,,
4,Atlético de Madrid,Sporting de Gijón,,
4,Eibar,Sevilla,,
4,Espanyol,Real Madrid,,
4,Las Palmas,Málaga,,
4,Leganés,Barcelona,,
4,Osasuna,Celta de Vigo,,
4,Real Betis,Granada ,,
4,Villarreal,Real Sociedad,,
5,Barcelona,Atlético de Madrid,,
5,Celta de Vigo,Sporting de Gijón,,
5,Deportivo La Coruña,Leganés,,
5,Granada ,Athletic Bilbao,,
5,Málaga,Eibar,,
5,Osasuna,Espanyol,,
5,Real Madrid,Villarreal,,
5,Real Sociedad,Las Palmas,,
5,Sevilla,Real Betis,,
5,Valencia,Alavés,,
6,Alavés,Granada,,
6,Athletic Bilbao,Sevilla,,
6,Atlético de Madrid,Deportivo La Coruña,,
6,Eibar,Real Sociedad,,
6,Espanyol,Celta de Vigo,,
6,Las Palmas,Real Madrid,,
6,Leganés,Valencia,,
6,Real Betis,Málaga,,
6,Sporting de Gijón,Barcelona,,
6,Villarreal,Osasuna,,
7,Celta de Vigo,Barcelona,,
7,Deportivo La Coruña,Sporting de Gijón,,
7,Espanyol,Villarreal ,,
7,Granada,Leganés,,
7,Málaga,Athletic Bilbao,,
7,Osasuna,Las Palmas,,
7,Real Madrid,Eibar,,
7,Real Sociedad,Real Betis,,
7,Sevilla ,Alavés,,
7,Valencia,Atlético de Madrid,,
8,Alavés,Málaga,,
8,Athletic Bilbao,Real Sociedad,,
8,Atlético de Madrid,Granada,,
8,Barcelona,Deportivo La Coruña,,
8,Eibar,Osasuna,,
8,Las Palmas,Espanyol,,
8,Leganés,Sevilla,,
8,Real Betis,Real Madrid,,
8,Sporting de Gijón,Valencia,,
8,Villarreal,Celta de Vigo,,
9,Celta de Vigo,Deportivo La Coruña,,
9,Espanyol,Eibar,,
9,Granada,Sporting de Gijón,,
9,Málaga,Leganés,,
9,Osasuna,Real Betis,,
9,Real Madrid,Athelic Bilbao,,
9,Real Sociedad ,Alavés,,
9,Sevilla,Atlético de Madrid,,
9,Valencia,Barcelona,,
9,Villarreal,Las Palmas ,,
10,Alavés,Real Madrid,,
10,Athletic Bilbao,Osasuna,,
10,Atlético de Madrid,Málaga,,
10,Barcelona,Granada,,
10,Deportivo La Coruña,Valencia,,
10,Eibar,Villarreal,,
10,Las Palmas,Celta de Vigo,,
10,Leganés,Real Sociedad,,
10,Real Betis,Espanyol ,,
10,Sporting de Gijón,Sevilla,,
11,Celta de Vigo ,Valencia,,
11,Espanyol,Athletic Bilbao,,
11,Granada,Deportivo La Coruña ,,
11,Las Palmas,Eibar,,
11,Málaga,Sporting de Gijón,,
11,Osasuna,Alavés,,
11,Real Madrid,Leganés,,
11,Real Sociedad,Atlético de Madrid,,
11,Sevilla,Barcelona,,
11,Villarreal ,Real Betis,,
12,Alavés,Espanyol,,
12,Athletic Bilbao,Villarreal,,
12,Atlético de Madrid,Real Madrid,,
12,Barcelona,Málaga,,
12,Deportivo La Coruña,Sevilla,,
12,Eibar,Celta de Vigo,,
12,Legales,Osasuna,,
12,Real Betis,Las Palmas,,
12,Sporting de Gijón,Real Sociedad,,
12,Valencia,Granada,,
13,Celta de Vigo,Granada,,
13,Eibar,Real Betis,,
13,Espanyol,Leganés,,
13,Las Palmas,Athletic Bilbao,,
13,Málaga,Deportivo La Coruña,,
13,Osasuna,Atlético de Madrid,,
13,Real Madrid,Sporting de Gijón,,
13,Real Sociedad,Barcelona,,
13,Sevilla,Valencia,,
13,Villarreal,Alavés,,
14,Alavés,Las Palmas,,
14,Athletic Bilbao,Eibar,,
14,Atlético de Madrid,Espanyol,,
14,Barcelona,Real Madrid,,
14,Deportivo La Coruña,Real Sociedad,,
