home_team,away_team,apt
V-Varen Nagasaki,Fagiano Okayama,2442
Consadole Sapporo,Roasso Kumamoto,2486
V-Varen Nagasaki,Kyoto Sanga FC,2499
Ehime FC,Roasso Kumamoto,2504
Mito Hollyhock,Gainare Tottori,2512
FC Gifu,Gainare Tottori,2551
Montedio Yamagata,Mito Hollyhock,2554
Montedio Yamagata,Avispa Fukuoka,2554
Mito Hollyhock,Giravanz Kitakyushu,2581
Giravanz Kitakyushu,V-Varen Nagasaki,2582
V-Varen Nagasaki,Matsumoto Yamaga FC,2584
Gainare Tottori,Ehime FC,2585
Gainare Tottori,FC Gifu,2593
V-Varen Nagasaki,Tokushima Vortis,2599
Thespa Kusatsu Gunma,Gainare Tottori,2634
FC Gifu,Mito Hollyhock,2640
Ehime FC,Kataller Toyama,2646
Tochigi SC,Consadole Sapporo,2652
Montedio Yamagata,Giravanz Kitakyushu,2662
Roasso Kumamoto,V-Varen Nagasaki,2667
Roasso Kumamoto,Thespa Kusatsu Gunma,2679
Avispa Fukuoka,V-Varen Nagasaki,2690
Avispa Fukuoka,Tochigi SC,2691
Yokohama FC,Matsumoto Yamaga FC,2693
Montedio Yamagata,Tokushima Vortis,2695
Tochigi SC,Ehime FC,2699
Matsumoto Yamaga FC,Thespa Kusatsu Gunma,2706
V-Varen Nagasaki,Montedio Yamagata,2710
Kyoto Sanga FC,Ehime FC,2712
V-Varen Nagasaki,Avispa Fukuoka,2721
Matsumoto Yamaga FC,Gainare Tottori,2723
Tokushima Vortis,Montedio Yamagata,2726
Thespa Kusatsu Gunma,Matsumoto Yamaga FC,2730
FC Gifu,Ehime FC,2741
Avispa Fukuoka,Roasso Kumamoto,2745
Thespa Kusatsu Gunma,Roasso Kumamoto,2749
Mito Hollyhock,Tochigi SC,2758
Kyoto Sanga FC,Montedio Yamagata,2759
Matsumoto Yamaga FC,Montedio Yamagata,2779
Kataller Toyama,Gainare Tottori,2781
Kyoto Sanga FC,Thespa Kusatsu Gunma,2787
Montedio Yamagata,FC Gifu,2788
Matsumoto Yamaga FC,V-Varen Nagasaki,2789
Kataller Toyama,Avispa Fukuoka,2794
Kyoto Sanga FC,Kataller Toyama,2794
Roasso Kumamoto,Avispa Fukuoka,2812
Thespa Kusatsu Gunma,Tochigi SC,2813
FC Gifu,Matsumoto Yamaga FC,2813
Roasso Kumamoto,Giravanz Kitakyushu,2817
Tochigi SC,Montedio Yamagata,2818
Gainare Tottori,JEF United Chiba,2818
Gainare Tottori,Thespa Kusatsu Gunma,2822
Matsumoto Yamaga FC,Tochigi SC,2823
