home_team,away_team,referee,period,fouls,MTBF
Korea Republic,Algeria,Wilmar Roldán,1,12,225.27
Costa Rica,Greece,Ben Williams,1,13,230.92
Netherlands,Chile,Bakary Gassama,1,21,131.05
Côte d'Ivoire,Japan,Enrique Osses,1,8,241.14
Japan,Colombia,Pedro Proença,1,15,191.93
Argentina,Iran,Milorad Mažić,1,12,251.82
Australia,Spain,Nawaf Shukralla,1,14,204.31
Croatia,Mexico,Ravshan Irmatov,1,14,201.69
Greece,Côte d'Ivoire,Carlos Vera,1,15,205
Nigeria,Bosnia and Herzegovina,Peter O'Leary,1,5,234.5
Iran,Nigeria,Carlos Vera,1,12,213.82
Germany,Ghana,Sandro Ricci,1,10,257.67
Brazil,Chile,Howard Webb,1,19,131.17
Russia,Korea Republic,Néstor Pitana,1,10,221.11
Ghana,USA,Jonas Eriksson,1,12,241.73
Switzerland,France,Björn Kuipers,1,11,180.9
Italy,Costa Rica,Enrique Osses,1,14,193.92
France,Honduras,Sandro Ricci,1,14,203.15
Brazil,Colombia,Carlos Velasco,1,26,106.8
Ecuador,France,Noumandiez Doué,1,12,227.09
Brazil,Mexico,Cüneyt Çakır,1,16,174.93
USA,Germany,Ravshan Irmatov,1,10,271.33
France,Germany,Néstor Pitana,1,11,227.7
Netherlands,Costa Rica,Ravshan Irmatov,1,13,213.83
Korea Republic,Belgium,Ben Williams,1,18,155.94
Germany,Argentina,Nicola Rizzoli,1,9,287.62
Colombia,Greece,Mark Geiger,1,11,251.7
Netherlands,Argentina,Cüneyt Çakır,1,11,214.4
Spain,Netherlands,Nicola Rizzoli,1,13,226.5
Colombia,Côte d'Ivoire,Howard Webb,1,12,174.18
Switzerland,Ecuador,Ravshan Irmatov,1,13,219.67
Australia,Netherlands,Djamel Haimoudi,1,22,128.24
Brazil,Croatia,Yuichi Nishimura,1,8,362.86
Honduras,Switzerland,Néstor Pitana,1,17,163.06
Cameroon,Brazil,Jonas Eriksson,1,12,231.73
Japan,Greece,Joel Aguilar,1,20,138.53
Germany,Algeria,Sandro Ricci,1,11,263.9
Spain,Chile,Mark Geiger,1,17,166.38
Belgium,USA,Djamel Haimoudi,1,16,177.93
Colombia,Uruguay,Björn Kuipers,1,13,214.92
Uruguay,Costa Rica,Felix Brych,1,16,152.73
Germany,Portugal,Milorad Mažić,1,11,191.9
Brazil,Netherlands,Djamel Haimoudi,1,17,153.69
Mexico,Cameroon,Wilmar Roldán,1,13,211.83
Argentina,Switzerland,Jonas Eriksson,1,21,129.95
France,Nigeria,Mark Geiger,1,11,271.9
Chile,Australia,Noumandiez Doué,1,14,197.46
Argentina,Bosnia and Herzegovina,Joel Aguilar,1,13,205.58
Algeria,Russia,Cüneyt Çakır,1,13,184.5
Bosnia and Herzegovina,Iran,Wilmar Roldán,1,20,128.63
Belgium,Algeria,Marco Antonio Rodríguez,1,14,189
Uruguay,England,Carlos Velasco,1,14,176.77
Honduras,Ecuador,Ben Williams,1,14,216.62
Italy,Uruguay,Marco Antonio Rodríguez,1,23,123
Cameroon,Croatia,Pedro Proença,1,11,228.4
England,Italy,Björn Kuipers,1,11,226.9
Brazil,Germany,Marco Antonio Rodríguez,1,11,219.3
Belgium,Russia,Felix Brych,1,12,206.91
Portugal,Ghana,Nawaf Shukralla,1,18,117.35
USA,Portugal,Néstor Pitana,1,13,223.92
Nigeria,Argentina,Nicola Rizzoli,1,12,240.55
Netherlands,Mexico,Pedro Proença,1,8,319.14
Argentina,Belgium,Nicola Rizzoli,1,10,300.44
Costa Rica,England,Djamel Haimoudi,1,14,184
Korea Republic,Algeria,Wilmar Roldán,2,15,189.64
Costa Rica,Greece,Ben Williams,2,16,188.8
Netherlands,Chile,Bakary Gassama,2,16,144.07
Côte d'Ivoire,Japan,Enrique Osses,2,12,222.73
Japan,Colombia,Pedro Proença,2,11,253.5
Argentina,Iran,Milorad Mažić,2,9,311.25
Australia,Spain,Nawaf Shukralla,2,10,296.56
Croatia,Mexico,Ravshan Irmatov,2,12,251.18
Greece,Côte d'Ivoire,Carlos Vera,2,13,217.17
Nigeria,Bosnia and Herzegovina,Peter O'Leary,2,11,217.9
Iran,Nigeria,Carlos Vera,2,17,167.25
Germany,Ghana,Sandro Ricci,2,18,159.76
Brazil,Chile,Howard Webb,2,12,242.82
Russia,Korea Republic,Néstor Pitana,2,12,236.27
Ghana,USA,Jonas Eriksson,2,11,243.2
Switzerland,France,Björn Kuipers,2,13,197.83
Italy,Costa Rica,Enrique Osses,2,16,164.07
France,Honduras,Sandro Ricci,2,14,191.85
Brazil,Colombia,Carlos Velasco,2,28,107.56
Ecuador,France,Noumandiez Doué,2,9,324.75
Brazil,Mexico,Cüneyt Çakır,2,13,221.17
USA,Germany,Ravshan Irmatov,2,13,177
France,Germany,Néstor Pitana,2,20,140.32
Netherlands,Costa Rica,Ravshan Irmatov,2,9,296.62
Korea Republic,Belgium,Ben Williams,2,8,387
Germany,Argentina,Nicola Rizzoli,2,12,202.55
Colombia,Greece,Mark Geiger,2,21,130.3
Netherlands,Argentina,Cüneyt Çakır,2,9,278.5
Spain,Netherlands,Nicola Rizzoli,2,8,380.86
Colombia,Côte d'Ivoire,Howard Webb,2,14,218.92
Switzerland,Ecuador,Ravshan Irmatov,2,10,262.33
Australia,Netherlands,Djamel Haimoudi,2,20,144.79
Brazil,Croatia,Yuichi Nishimura,2,16,147.2
Honduras,Switzerland,Néstor Pitana,2,11,268.7
Cameroon,Brazil,Jonas Eriksson,2,19,151.67
Japan,Greece,Joel Aguilar,2,18,164.18
Germany,Algeria,Sandro Ricci,2,12,221
Spain,Chile,Mark Geiger,2,9,328.88
Belgium,USA,Djamel Haimoudi,2,10,242.33
Colombia,Uruguay,Björn Kuipers,2,13,219.08
Uruguay,Costa Rica,Felix Brych,2,20,145.16
Germany,Portugal,Milorad Mažić,2,10,293
Brazil,Netherlands,Djamel Haimoudi,2,17,179.25
Mexico,Cameroon,Wilmar Roldán,2,8,331
Argentina,Switzerland,Jonas Eriksson,2,17,162.06
France,Nigeria,Mark Geiger,2,13,207.67
Chile,Australia,Noumandiez Doué,2,11,189.5
Argentina,Bosnia and Herzegovina,Joel Aguilar,2,10,261.67
Algeria,Russia,Cüneyt Çakır,2,16,183.47
Bosnia and Herzegovina,Iran,Wilmar Roldán,2,16,178.6
Belgium,Algeria,Marco Antonio Rodríguez,2,23,125.5
Uruguay,England,Carlos Velasco,2,12,208.73
Honduras,Ecuador,Ben Williams,2,17,170.44
Italy,Uruguay,Marco Antonio Rodríguez,2,14,219.69
Cameroon,Croatia,Pedro Proença,2,9,281.38
England,Italy,Björn Kuipers,2,8,299
Brazil,Germany,Marco Antonio Rodríguez,2,12,243.64
Belgium,Russia,Felix Brych,2,10,291.11
Portugal,Ghana,Nawaf Shukralla,2,18,166.12
USA,Portugal,Néstor Pitana,2,10,252.56
Nigeria,Argentina,Nicola Rizzoli,2,10,317.78
Netherlands,Mexico,Pedro Proença,2,10,301.56
Argentina,Belgium,Nicola Rizzoli,2,16,168.93
Costa Rica,England,Djamel Haimoudi,2,20,126.37
Costa Rica,Greece,Ben Williams,3,4,223.67
Brazil,Chile,Howard Webb,3,9,100
Netherlands,Costa Rica,Ravshan Irmatov,3,2,145
Germany,Argentina,Nicola Rizzoli,3,5,159.5
Netherlands,Argentina,Cüneyt Çakır,3,4,283.33
Germany,Algeria,Sandro Ricci,3,2,534
Belgium,USA,Djamel Haimoudi,3,4,243.33
Argentina,Switzerland,Jonas Eriksson,3,4,165.67
Costa Rica,Greece,Ben Williams,4,2,755
Brazil,Chile,Howard Webb,4,5,116.75
Netherlands,Costa Rica,Ravshan Irmatov,4,3,381.5
Germany,Argentina,Nicola Rizzoli,4,8,123.86
Netherlands,Argentina,Cüneyt Çakır,4,2,346
Germany,Algeria,Sandro Ricci,4,3,239.5
Belgium,USA,Djamel Haimoudi,4,7,88.5
Argentina,Switzerland,Jonas Eriksson,4,6,192.8
