home team,away team,referee,period,stops,MTBS
Korea Republic,Algeria,Wilmar Roldán,1,58,48.54
Costa Rica,Greece,Ben Williams,1,63,44.82
Netherlands,Chile,Bakary Gassama,1,71,37.84
Côte d'Ivoire,Japan,Enrique Osses,1,55,47.94
Japan,Colombia,Pedro Proença,1,57,48.79
Argentina,Iran,Milorad Mažić,1,55,51.98
Australia,Spain,Nawaf Shukralla,1,66,42.45
Croatia,Mexico,Ravshan Irmatov,1,56,48.47
Greece,Côte d'Ivoire,Carlos Vera,1,60,49.25
Nigeria,Bosnia and Herzegovina,Peter O'Leary,1,36,75.2
Iran,Nigeria,Carlos Vera,1,56,50.24
Germany,Ghana,Sandro Ricci,1,56,47.85
Brazil,Chile,Howard Webb,1,68,41.34
Russia,Korea Republic,Néstor Pitana,1,53,50.4
Ghana,USA,Jonas Eriksson,1,63,47.45
Switzerland,France,Björn Kuipers,1,50,55.51
Italy,Costa Rica,Enrique Osses,1,57,49.96
France,Honduras,Sandro Ricci,1,56,51.56
Brazil,Colombia,Carlos Velasco,1,73,37.39
Ecuador,France,Noumandiez Doué,1,59,46.67
Brazil,Mexico,Cüneyt Çakır,1,59,46.4
USA,Germany,Ravshan Irmatov,1,60,46.08
France,Germany,Néstor Pitana,1,57,47.48
Netherlands,Costa Rica,Ravshan Irmatov,1,52,50.94
Korea Republic,Belgium,Ben Williams,1,74,38.48
Germany,Argentina,Nicola Rizzoli,1,65,42.88
Colombia,Greece,Mark Geiger,1,58,47.68
Netherlands,Argentina,Cüneyt Çakır,1,51,49.3
Spain,Netherlands,Nicola Rizzoli,1,58,47.68
Colombia,Côte d'Ivoire,Howard Webb,1,56,50.2
Switzerland,Ecuador,Ravshan Irmatov,1,70,39.58
Australia,Netherlands,Djamel Haimoudi,1,70,40.87
Brazil,Croatia,Yuichi Nishimura,1,61,46.87
Honduras,Switzerland,Néstor Pitana,1,57,48.7
Cameroon,Brazil,Jonas Eriksson,1,56,49.78
Japan,Greece,Joel Aguilar,1,69,39.76
Germany,Algeria,Sandro Ricci,1,58,47.04
Spain,Chile,Mark Geiger,1,82,34.05
Belgium,USA,Djamel Haimoudi,1,74,38.58
Colombia,Uruguay,Björn Kuipers,1,46,60.49
Uruguay,Costa Rica,Felix Brych,1,68,40.54
Germany,Portugal,Milorad Mažić,1,51,54.1
Brazil,Netherlands,Djamel Haimoudi,1,58,48.89
Mexico,Cameroon,Wilmar Roldán,1,68,41.09
Argentina,Switzerland,Jonas Eriksson,1,75,36.54
France,Nigeria,Mark Geiger,1,62,45.21
Chile,Australia,Noumandiez Doué,1,54,51.21
Argentina,Bosnia and Herzegovina,Joel Aguilar,1,57,47.43
Algeria,Russia,Cüneyt Çakır,1,58,47.65
Bosnia and Herzegovina,Iran,Wilmar Roldán,1,75,37.57
Belgium,Algeria,Marco Antonio Rodríguez,1,59,47.16
Uruguay,England,Carlos Velasco,1,77,35.8
Honduras,Ecuador,Ben Williams,1,63,46.52
Italy,Uruguay,Marco Antonio Rodríguez,1,80,35.44
Cameroon,Croatia,Pedro Proença,1,61,44.47
England,Italy,Björn Kuipers,1,43,66.1
Brazil,Germany,Marco Antonio Rodríguez,1,57,47.09
Belgium,Russia,Felix Brych,1,59,47.33
Portugal,Ghana,Nawaf Shukralla,1,67,39.85
USA,Portugal,Néstor Pitana,1,56,49.38
Nigeria,Argentina,Nicola Rizzoli,1,52,53.37
Netherlands,Mexico,Pedro Proença,1,39,71.87
Argentina,Belgium,Nicola Rizzoli,1,48,57.64
Costa Rica,England,Djamel Haimoudi,1,68,40.57
Korea Republic,Algeria,Wilmar Roldán,2,80,34.15
Costa Rica,Greece,Ben Williams,2,68,43.58
Netherlands,Chile,Bakary Gassama,2,72,37.39
Côte d'Ivoire,Japan,Enrique Osses,2,56,53.64
Japan,Colombia,Pedro Proença,2,58,47.84
Argentina,Iran,Milorad Mažić,2,60,48.36
Australia,Spain,Nawaf Shukralla,2,53,52.94
Croatia,Mexico,Ravshan Irmatov,2,67,42.26
Greece,Côte d'Ivoire,Carlos Vera,2,58,48.84
Nigeria,Bosnia and Herzegovina,Peter O'Leary,2,51,53.32
Iran,Nigeria,Carlos Vera,2,61,45.35
Germany,Ghana,Sandro Ricci,2,72,40.52
Brazil,Chile,Howard Webb,2,60,47.59
Russia,Korea Republic,Néstor Pitana,2,54,50.83
Ghana,USA,Jonas Eriksson,2,69,40.93
Switzerland,France,Björn Kuipers,2,56,48.96
Italy,Costa Rica,Enrique Osses,2,73,38.79
France,Honduras,Sandro Ricci,2,56,50.13
Brazil,Colombia,Carlos Velasco,2,86,34.16
Ecuador,France,Noumandiez Doué,2,46,61.87
Brazil,Mexico,Cüneyt Çakır,2,56,49.09
USA,Germany,Ravshan Irmatov,2,55,51.04
France,Germany,Néstor Pitana,2,83,34.23
Netherlands,Costa Rica,Ravshan Irmatov,2,63,45.79
Korea Republic,Belgium,Ben Williams,2,58,50.04
Germany,Argentina,Nicola Rizzoli,2,54,49
Colombia,Greece,Mark Geiger,2,78,35.73
Netherlands,Argentina,Cüneyt Çakır,2,50,56.8
Spain,Netherlands,Nicola Rizzoli,2,59,48.69
Colombia,Côte d'Ivoire,Howard Webb,2,67,43.5
Switzerland,Ecuador,Ravshan Irmatov,2,56,49.82
Australia,Netherlands,Djamel Haimoudi,2,79,36.19
Brazil,Croatia,Yuichi Nishimura,2,74,38.95
Honduras,Switzerland,Néstor Pitana,2,55,50.28
Cameroon,Brazil,Jonas Eriksson,2,80,34.77
Japan,Greece,Joel Aguilar,2,61,47.33
Germany,Algeria,Sandro Ricci,2,61,45.7
Spain,Chile,Mark Geiger,2,60,50.02
Belgium,USA,Djamel Haimoudi,2,57,49.39
Colombia,Uruguay,Björn Kuipers,2,58,48.19
Uruguay,Costa Rica,Felix Brych,2,97,30.16
Germany,Portugal,Milorad Mažić,2,52,53.41
Brazil,Netherlands,Djamel Haimoudi,2,68,43.01
